Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
Year,îNìx,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2015,2015,2015,2014,2014,2014,2015,2015
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,êlå˚ëçêî,êlå˚ëçêîÅiíjÅj,êlå˚ëçêîÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,ÇPÇTçŒñ¢ñûêlå˚,ÇPÇTçŒñ¢ñûêlå˚ÅiíjÅj,ÇPÇTçŒñ¢ñûêlå˚ÅièóÅj,ÇPÇTÅ`ÇUÇSçŒêlå˚,ÇPÇTÅ`ÇUÇSçŒêlå˚ÅiíjÅj,ÇPÇTÅ`ÇUÇSçŒêlå˚ÅièóÅj,ÇUÇTçŒà»è„êlå˚,ÇUÇTçŒà»è„êlå˚ÅiíjÅj,ÇUÇTçŒà»è„êlå˚ÅièóÅj,ÇVÇTçŒà»è„êlå˚,ÇVÇTçŒà»è„êlå˚ÅiíjÅj,ÇVÇTçŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êî,ì]èoé“êî,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,ÇUÇTçŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅiÇUÇTçŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäëçêî,éñã∆èäêîÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiåöê›ã∆Åj,éñã∆èäêîÅiêªë¢ã∆Åj,éñã∆èäêîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,éñã∆èäêîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆éñã∆èäêî,ëÊÇQéüéYã∆éñã∆èäêî,ëÊÇRéüéYã∆éñã∆èäêî,è]ã∆é“ëçêî,è]ã∆é“êîÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiåöê›ã∆Åj,è]ã∆é“êîÅiêªë¢ã∆Åj,è]ã∆é“êîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆è]ã∆é“êî,ëÊÇQéüéYã∆è]ã∆é“êî,ëÊÇRéüéYã∆è]ã∆é“êî,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,14021,18504,118336,109199,921837,920415,1899980,493644,375242,178246,98660,104650,10495,4096,112126,43898,76604,103,6701,2611,68,1459,1697,18585,1420,8822,4139,10168,6427,2526,6524,303,4746,294,105,9321,67178,912841,1331,61706,38170,4390,31952,47454,195399,24911,34186,30961,87304,42136,46826,128742,7785,99791,29737,1345,99922,811574,91.6,4.9,885032369,285914071,877817401,387909355,122018222,75353766,0,123,21511,205,4843,89616,108,3042,46721,53,44774,1,11,1941078,7169,11498,9124,377,179,1317,1237,6418,2118,5015,258,25037
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1532,3637,8718,9791,123950,123651,255149,66690,48247,29540,16258,20148,1172,563,67787,12334,13795,24,1224,612,17,100,275,3590,278,976,440,2216,1369,494,1035,104,932,86,44,1839,11912,124215,201,8728,9798,625,1270,6897,24804,3124,3174,2877,13084,6446,5599,20957,1362,10227,4725,493,18551,105171,87.2,7.7,140294201,32096591,137520941,59128199,12767988,14834123,0,21,2396,48,763,11022,30,517,6249,15,7502,3,1,269079,32549,2689,1872,43,28,215,131,777,185,672,45,3494
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,512,1856,3121,3970,55466,55299,116724,31709,19911,15984,8950,10585,391,197,24383,8009,6090,2,422,461,12,26,217,1786,99,208,143,939,557,202,535,38,390,45,9,884,5197,56650,8,2658,8275,267,121,3321,12988,918,802,989,5301,2381,3161,9878,548,3101,1818,119,10937,45594,93.3,10.6,58910972,13322414,56913539,24802064,6353807,4270950,0,14,1036,21,362,4548,14,263,2728,8,3457,0,1,122088,4073,1373,821,19,12,84,79,301,106,359,21,1394
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,2280,4060,10282,11029,155747,155218,326243,88393,57488,38167,23059,22400,1573,720,74766,35194,15201,76,1437,779,13,110,367,3795,331,1233,496,2100,1439,465,1458,97,922,80,76,2219,12906,154350,799,11639,10800,722,1157,8183,33338,3671,3566,3448,12815,6542,8340,27297,1879,13044,7088,799,22461,131090,92.3,7.1,158551128,39358806,157272163,71562459,18929525,12385413,133,29,2757,55,1213,15875,28,658,8602,14,9199,28,5,345566,6634,2639,1840,74,36,243,179,1280,253,826,62,5405
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,503,1220,2999,3771,43616,43536,86029,23014,18486,10954,6773,7295,378,127,8088,4327,4423,1,453,230,9,36,122,1039,100,279,147,748,379,122,308,25,384,41,1,683,3739,47415,24,4524,8016,324,582,2600,7498,983,876,1621,3430,1553,2421,7110,409,3975,1469,24,12540,34851,93,9.5,46451973,13408552,45582620,17193862,5267335,4642622,2372,11,1112,15,289,3629,8,162,2101,6,2907,0,1,88889,2854,764,669,7,6,53,46,284,63,191,10,986
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,1070,2193,5748,6750,82078,81846,169155,45098,31697,19105,11305,11926,809,415,136290,30910,8871,33,723,364,17,60,293,2051,197,839,300,1449,813,281,680,47,616,79,53,1096,7722,80833,280,5596,6077,528,456,5873,15700,2324,1993,1978,8105,3376,3693,13200,546,6950,3387,622,12102,68109,92.1,11.6,98372483,20717115,96539514,36767443,9928469,12311107,70581,28,2327,27,610,8102,17,375,4423,8,4392,1,2,176719,10782,1442,1231,28,15,82,95,374,115,351,26,1757
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1301,1779,7396,7390,77707,77525,163589,42823,29720,16117,9615,8907,930,363,61934,38281,9083,71,922,354,11,75,193,2252,208,442,358,1531,868,320,722,47,652,51,72,1281,7730,87443,958,7264,5753,342,639,4383,19517,2446,1758,2652,8834,3877,3558,13632,421,6692,4689,963,13040,73440,89.7,8.9,83421715,21717404,82578856,30198183,7518423,6580721,0,13,2129,26,590,8038,14,340,4160,8,5251,0,1,168532,5324,1548,1367,35,17,99,100,452,149,368,32,2923
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,765,1435,4044,4521,56202,56043,117577,31420,21103,13045,8072,7328,522,258,142741,42518,5944,135,532,256,15,49,163,1515,117,371,189,842,511,181,496,47,437,63,153,795,4996,54546,919,4930,3770,305,831,3088,12325,1265,1209,1023,4832,2192,2705,8054,807,4088,1854,1165,8803,44578,90.2,11.2,72965464,14051186,72483045,21105747,10565585,11162137,147515,9,979,25,468,5483,15,280,3045,8,3189,8,9,121264,5276,1076,690,25,12,67,53,223,75,214,15,1272
R01209,ñkäCìπ,ó[í£és,8843,4092,4751,8755,4089,4666,500,241,259,4045,2090,1955,4296,1759,2537,2527,1004,1523,88,30,191,188,390,4539,4526,8460,2256,1984,1443,922,1178,19,10,76307,11165,526,10,32,24,7,3,9,137,6,9,6,68,60,11,51,15,65,13,10,56,460,3506,57,272,683,42,4,106,545,25,27,29,302,155,141,602,105,208,203,57,955,2494,120.7,76.3,11886019,837670,11006280,2230942,1187419,246458,0,1,19,1,19,216,1,18,110,1,91,1,0,9205,4106,130,53,0,0,7,6,9,8,13,3,95
R01210,ñkäCìπ,ä‚å©ëÚés,84499,39319,45180,84215,39201,45014,8983,4597,4386,47848,23127,24721,27503,11509,15994,13958,5334,8624,96,455,1036,2773,3059,36155,36060,81202,21610,11431,9773,5712,5234,294,146,48102,31831,3497,97,312,131,3,31,82,815,54,265,144,457,342,105,322,26,264,46,97,444,2956,33637,805,2675,2640,147,154,1753,6725,538,711,828,2792,1675,1417,5880,640,2451,1790,805,5331,27501,92.4,6.8,47478308,8346862,46869341,14925976,8995021,4318075,0,6,802,15,283,3670,10,197,2077,4,2575,0,2,85059,5927,647,403,14,5,58,50,177,62,145,15,1062
R01211,ñkäCìπ,ñ‘ëñés,39077,19819,19258,38807,19726,19081,4571,2358,2213,23698,12794,10904,10691,4578,6113,5246,2038,3208,188,244,424,1776,2075,18035,17984,37138,9153,7571,3803,2316,2169,184,69,47100,21594,2036,37,175,110,5,20,46,439,38,165,86,311,168,61,151,20,146,30,64,286,1686,19230,546,1412,1755,65,218,679,3122,353,367,858,2018,855,1137,2547,413,1120,1451,856,3171,15203,93.3,15.2,23793476,4675137,23687894,6259056,3462083,1906316,313633,5,507,9,194,1751,6,113,959,2,1057,0,1,37436,1350,351,243,5,4,16,16,64,18,51,5,346
R01212,ñkäCìπ,óØñGés,22221,10516,11705,22106,10498,11608,2290,1137,1153,12391,6298,6093,7513,3069,4444,3761,1449,2312,99,142,305,1083,1313,10402,10358,21320,5774,3877,2678,1655,1619,85,30,29783,5201,1241,8,95,46,5,10,45,320,36,49,45,191,116,25,99,9,112,28,9,142,1090,11121,89,1216,885,51,48,683,1911,272,133,473,760,449,327,1645,195,669,1295,93,2117,8911,89.9,17.6,14254649,2356595,13730920,3649014,2434188,870326,0,2,214,5,104,920,3,56,446,2,628,1,1,22600,3439,253,159,4,2,15,15,50,17,55,3,293
R01213,ñkäCìπ,ìœè¨ñqés,172737,84605,88132,172161,84301,87860,22401,11469,10932,105217,53472,51745,44469,19164,25305,20468,7919,12549,405,1357,1674,5541,5827,78298,78145,167749,45158,28681,16374,9876,9201,939,413,56157,20182,7723,20,978,375,21,36,455,1798,155,380,245,1084,706,297,546,27,550,40,22,1361,6340,84199,356,8413,11855,556,513,8745,15369,1495,1498,1364,6813,4221,2896,9811,937,7220,1867,361,20533,63305,86.5,5.9,80754352,27264412,79300412,30799363,12894834,6823819,53017,17,2842,24,581,9166,15,347,4659,7,3965,1,1,173800,1223,1260,909,24,11,94,81,327,110,287,23,1798
R01214,ñkäCìπ,ítì‡és,36380,17809,18571,36082,17721,18361,4304,2218,2086,21570,11172,10398,10505,4419,6086,5051,1963,3088,298,242,480,1354,1836,16486,16445,35399,9191,5972,3923,2227,2084,182,71,76147,31932,2102,14,195,125,7,15,45,487,53,137,56,346,189,61,125,23,166,41,28,323,1751,18538,149,1800,2110,122,56,856,3720,480,303,542,1763,751,887,1925,325,1214,1268,408,3918,14212,92.1,14.6,24227827,4534964,23913350,5779020,2946968,2792129,290738,6,509,11,167,1650,7,107,892,2,945,0,1,36325,1095,330,275,5,3,16,14,47,19,60,6,314
R01215,ñkäCìπ,î¸âSés,23035,10753,12282,23000,10736,12264,1973,1039,934,12205,6074,6131,8853,3638,5215,4740,1775,2965,33,102,415,479,837,10173,10098,21799,5620,3567,2952,1771,1992,77,35,27769,15776,1098,35,118,63,6,3,34,216,18,77,15,141,108,42,82,15,101,19,35,186,877,9647,245,1105,935,46,33,649,1287,142,156,214,740,391,576,1587,312,514,662,245,2093,7309,92.6,16.9,17978358,2111791,17409027,5238128,3079113,980864,0,3,150,5,77,785,4,62,501,2,626,4,1,23501,3223,182,120,1,4,12,15,44,18,31,7,228
R01216,ñkäCìπ,à∞ï és,14676,6667,8009,14634,6657,7977,1109,566,543,7160,3473,3687,6405,2626,3779,3503,1338,2165,42,53,318,314,525,6862,6828,14016,3897,2395,2202,1376,1440,44,19,86504,13704,749,25,45,48,5,3,16,169,14,21,8,116,78,20,70,15,78,15,25,96,628,5825,263,301,1200,32,6,237,915,79,42,43,397,241,263,1006,80,331,322,263,1568,3994,91.3,8.3,12540845,1537698,12330997,3030259,979476,1079260,0,1,118,2,36,439,2,30,273,1,345,0,1,14769,3390,143,101,2,2,5,9,22,10,24,2,108
R01217,ñkäCìπ,ç]ï és,120636,57391,63245,120094,57109,62985,13524,6868,6656,74253,36364,37889,32585,13970,18615,15521,6032,9489,391,643,1222,4789,4530,51983,51905,117458,32310,16659,12742,7527,5849,359,172,18738,16763,3579,42,407,155,8,29,95,792,44,259,112,367,354,238,404,21,227,24,43,562,2974,36951,384,2876,3892,187,590,2956,7541,390,769,1097,2500,1522,3428,5792,397,1826,803,385,6768,29798,89.8,10.2,47300016,12093944,46576123,16362179,6415326,6272408,0,10,1357,18,407,5628,9,281,3731,5,4135,3,4,119587,1127,619,311,22,5,67,68,173,85,178,13,1134
R01218,ñkäCìπ,ê‘ïΩés,11105,5025,6080,11051,5004,6047,835,428,407,5306,2554,2752,4964,2043,2921,2727,1052,1675,54,47,229,227,303,4980,4948,9987,2770,1828,1617,1011,1098,24,12,12988,3669,502,4,46,34,3,2,15,122,9,15,5,60,52,14,52,7,46,15,4,81,417,4940,45,408,1144,12,3,257,618,70,45,14,240,311,135,1120,34,213,256,45,1567,3328,96.3,18.8,9780264,862725,9410048,2595030,1263422,568909,0,1,57,3,40,339,2,31,216,0,0,2,1,11123,2354,116,47,1,2,3,5,29,5,21,2,114
R01219,ñkäCìπ,ñ‰ï és,23109,10954,12155,22705,10863,11842,2329,1221,1108,12707,6347,6360,7631,3082,4549,3864,1406,2458,310,135,353,869,1035,11127,11101,22382,5900,4461,2760,1676,1683,96,45,83071,17455,1403,18,114,107,6,6,45,336,32,90,38,201,135,42,79,17,103,27,24,222,1157,11497,153,880,2154,79,36,596,2050,188,186,191,907,526,549,1207,520,672,510,227,3053,8217,89.3,11.9,17820376,2823325,17388647,4335975,2545149,1664574,81847,1,100,7,90,898,4,66,515,1,483,3,1,23384,2354,247,173,2,5,8,11,34,14,25,4,238
R01220,ñkäCìπ,émï és,19914,9382,10532,19815,9311,10504,2066,1066,1000,10384,5195,5189,7451,3112,4339,4144,1656,2488,57,109,297,503,850,8650,8625,19194,5068,2703,2516,1690,1331,59,18,111922,27978,1242,46,111,64,4,2,20,283,18,78,31,175,101,54,107,17,103,26,46,177,1019,9824,395,1169,597,37,13,356,1674,146,173,396,700,290,436,1593,272,1062,501,395,1780,7649,94.9,14.2,18973656,2294789,18555273,3872933,1794664,2843247,134748,3,116,8,112,843,5,76,503,2,405,17,2,20004,1400,233,140,4,1,13,12,22,10,27,3,229
R01221,ñkäCìπ,ñºäÒés,29048,14072,14976,28926,14011,14915,3453,1763,1690,16755,8565,8190,8794,3716,5078,4605,1790,2815,118,207,332,1390,1612,13086,13012,27548,7179,4938,3099,2015,1658,146,45,53520,19852,1505,19,101,60,8,8,43,363,35,150,43,216,144,57,101,14,113,29,19,162,1324,14255,156,855,658,121,73,797,2847,335,290,229,1204,539,630,2157,411,809,2130,156,1527,12572,85.4,9,23696017,3070323,23050571,4617110,2441136,6209098,75492,4,346,8,145,1339,4,80,690,2,719,19,2,28760,1797,291,183,6,4,11,16,85,22,48,5,348
R01222,ñkäCìπ,éOä}és,9076,4075,5001,9059,4063,4996,694,336,358,4199,2109,2090,4181,1629,2552,2400,846,1554,17,38,192,323,410,4254,4241,8537,2313,1649,1407,819,1050,29,17,30252,5678,440,11,38,34,4,0,15,116,5,11,6,44,45,10,29,7,51,13,11,73,356,4124,190,352,691,21,0,172,733,20,57,36,220,100,129,642,42,511,190,190,1061,2873,93.1,6.6,10455021,889622,10255504,2449972,2110462,882481,0,1,54,2,32,298,2,26,155,1,119,1,1,9300,2428,101,37,1,2,3,4,15,3,11,2,105
R01223,ñkäCìπ,ç™é∫és,26917,12862,14055,26633,12807,13826,3033,1570,1463,15533,7830,7703,8285,3413,4872,4096,1570,2526,253,169,361,766,1152,11383,11363,26247,6314,3692,2885,1595,1498,130,57,41141,20785,1609,14,115,157,6,12,41,373,32,55,32,266,166,47,86,22,110,35,53,273,1283,13392,93,682,2589,60,42,465,2480,275,128,174,1072,525,455,1181,380,1289,1084,504,3278,9610,87.5,8.9,19254330,2999352,19112957,4598173,2550257,1825985,35195,3,286,8,126,1252,7,112,667,2,624,4,1,27290,7021,281,222,6,1,8,13,33,14,23,7,355
R01224,ñkäCìπ,êÁçŒés,95648,48588,47060,95212,48398,46814,13573,7011,6562,61908,32634,29274,19979,8851,11128,9217,3820,5397,435,884,737,5550,5253,40638,40465,91267,24115,14048,7774,4454,3742,592,211,59450,19623,3269,39,245,153,7,17,136,857,56,135,85,631,311,129,232,17,182,32,42,400,2827,50231,406,2013,7172,140,82,4792,7717,493,1066,706,4670,2242,1472,4210,293,2679,10042,439,9188,40604,89.6,9.8,37006535,14284870,36249262,12391193,4689222,3972687,122457,9,1611,17,323,5460,9,189,2777,2,1765,12,1,95765,1695,707,551,15,6,53,46,124,61,127,10,922
R01225,ñkäCìπ,ëÍêÏés,41192,19475,21717,41054,19402,21652,4456,2327,2129,23001,11284,11717,13353,5615,7738,6738,2619,4119,80,275,537,1784,1851,18651,18600,39552,10717,6591,4710,2965,2670,180,75,11590,10206,2033,16,205,67,5,10,51,482,42,118,62,342,216,71,169,12,137,26,16,274,1743,17631,140,1785,669,97,78,878,3887,469,392,393,1757,819,811,2927,298,1054,1169,140,2462,15029,97.4,11.7,22316204,4262507,21621066,6620940,3226423,3364794,10621,2,344,6,135,1843,4,84,998,3,1764,1,1,41630,4606,380,305,9,5,25,25,87,32,89,5,472
R01226,ñkäCìπ,çªêÏés,17694,8216,9478,17666,8201,9465,1758,871,887,9355,4573,4782,6390,2670,3720,3369,1299,2070,23,92,264,629,687,7858,7840,17017,4627,2594,2323,1452,1195,84,33,7868,4884,893,9,92,41,5,2,29,214,12,39,25,145,83,31,77,7,68,10,9,137,747,8907,151,1109,750,137,3,483,1714,87,129,93,671,354,297,1752,163,733,249,151,1891,6865,81.6,9.6,12776057,2049399,12343566,3007955,2462667,1311716,0,1,157,5,79,753,2,37,448,1,314,1,1,17815,901,163,121,2,1,9,9,95,13,47,3,207
R01227,ñkäCìπ,âÃéuì‡és,3585,1652,1933,3581,1650,1931,217,122,95,1696,864,832,1672,666,1006,915,316,599,4,9,80,76,142,1665,1659,3263,920,637,561,326,369,10,2,5595,1398,164,1,18,6,3,1,4,34,3,2,0,12,17,8,22,3,21,7,1,26,137,1270,1,136,85,6,4,53,165,10,5,0,66,52,66,397,9,85,90,1,261,1008,82.6,10.7,4654021,216762,4517704,1106711,525052,308659,2792,1,12,1,14,94,1,15,66,0,0,0,1,3708,259,31,7,0,1,4,2,4,2,5,1,18
R01228,ñkäCìπ,ê[êÏés,21909,10118,11791,21846,10087,11759,1995,997,998,11281,5551,5730,8616,3564,5052,4685,1855,2830,49,118,325,765,885,9669,9636,20605,5550,3297,2861,1875,1554,59,29,52942,21452,1130,30,85,48,4,4,24,270,17,70,34,176,112,36,88,20,89,22,30,134,966,9270,266,683,465,62,25,399,1712,138,180,332,854,472,538,1911,269,613,347,266,1152,7852,83.6,14.5,18269592,2127572,18046321,3985973,1783962,1114555,10315,2,166,6,88,778,2,42,467,2,520,7,1,21996,2910,231,152,4,3,15,13,59,19,38,9,358
R01229,ñkäCìπ,ïxó«ñÏés,22936,10783,12153,22742,10709,12033,2684,1348,1336,13092,6426,6666,7096,2973,4123,3784,1501,2283,140,141,299,817,1074,9929,9892,21877,5363,3583,2273,1425,1210,87,47,60071,19740,1258,37,79,45,3,2,27,309,23,90,33,219,110,57,104,13,88,19,37,124,1097,10726,489,813,515,46,6,645,2060,176,211,177,1419,466,555,1724,309,812,303,489,1328,8909,90.9,7.8,12627734,2532547,12372960,3900517,1676425,1126170,3384,4,425,9,142,1058,6,85,627,2,777,3,1,22661,3403,260,155,3,2,11,13,44,19,47,1,144
R01230,ñkäCìπ,ìoï és,49625,23533,26092,49500,23483,26017,5312,2726,2586,26948,13364,13584,16602,7052,9550,8054,3161,4893,92,327,678,1880,2225,21681,21640,47567,13324,6777,6233,3934,3009,238,102,21221,3744,1685,8,225,88,6,8,40,394,26,107,41,233,184,59,130,12,105,17,9,314,1362,15228,68,1487,1001,58,33,707,2935,143,303,150,2361,661,813,2387,153,1131,831,73,2489,12666,93.9,14.4,20859069,5136728,20186278,7696027,2122131,2162161,4920,4,543,8,176,2239,5,99,1185,1,462,3,2,50182,4918,326,185,6,6,17,21,57,28,51,5,436
R01231,ñkäCìπ,åbíÎés,69702,33781,35921,69450,33669,35781,9132,4571,4561,42897,21366,21531,17465,7716,9749,8362,3458,4904,190,462,634,3227,2938,28846,28752,67223,18092,8768,6752,3962,2827,286,130,29465,9736,1980,26,178,112,6,8,77,444,33,102,63,278,226,103,184,13,103,22,26,292,1662,25977,271,1587,4787,113,106,1598,3971,262,362,440,1942,1513,1382,3225,216,642,3554,271,6380,19326,88.2,6.9,26768839,7676819,25965502,8811416,3371550,2694840,16211,6,1057,8,220,3828,5,139,2029,2,1797,1,3,68934,963,357,237,10,5,34,37,122,47,120,9,666
R01233,ñkäCìπ,à…íBés,34995,16279,18716,34893,16255,18638,3966,2056,1910,18910,9131,9779,12107,5081,7026,6278,2484,3794,97,200,495,1196,1344,15054,14953,32814,9012,4857,4278,2656,2233,134,50,44421,13092,1495,21,123,59,5,9,18,355,32,138,40,200,148,50,155,13,106,19,22,185,1288,13378,247,1024,880,95,33,491,2523,263,360,207,1185,831,657,3153,283,652,460,257,1928,11193,85.1,9.9,18326014,3788084,17268236,6195261,1909457,1321271,12960,2,317,10,153,1699,5,92,858,2,766,0,1,35330,6109,295,151,5,2,27,20,72,22,67,8,558
