Code,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R27221,ëÂç„ï{,îêå¥és,71112,33978,37134,69958,33403,36555,8674,4445,4229,43343,21167,22176,18719,8142,10577,8038,3207,4831,975,464,659,1813,2315,29009,28968,69847,18400,8549,7378,3894,3498,313,107,2533,1799,2470,4,190,422,4,8,29,543,19,211,44,236,223,116,247,14,142,18,4,612,1854,26627,22,870,10264,76,44,462,3799,252,556,138,1703,777,2527,3681,242,612,602,22,11134,15471,96.5,9.7,26176632,8758294,25758105,10553072,2311384,2297607,0,8,950,11,231,3384,7,169,1896,3,2540,3,2,71564,4209,443,197,9,3,47,32,108,38,128,12,1263
R27222,ëÂç„ï{,âHâgñÏés,112683,53243,59440,111762,52838,58924,14371,7289,7082,66057,32006,34051,31843,13719,18124,14558,5701,8857,686,737,1119,2860,3303,44126,44054,109840,29049,11606,11926,6413,5459,485,213,2645,2398,3923,2,402,493,5,12,88,867,34,377,117,355,312,191,403,15,232,18,2,895,3026,38558,49,2282,5706,225,22,2188,8745,301,1018,756,2832,1511,2070,7839,118,1877,1019,49,7988,30521,96.8,9.3,39810637,12434045,39164212,19029918,2557829,4525126,0,15,854,14,379,5832,7,225,3133,2,969,1,6,114274,6818,646,313,19,6,62,47,221,52,193,13,1858
R27223,ëÂç„ï{,ñÂê^és,123576,60620,62956,120678,59168,61510,14182,7207,6975,74181,37738,36443,34289,15069,19220,14716,6031,8685,2247,877,1251,4102,4633,55825,55780,122187,30836,21498,12819,6321,8497,671,302,1230,1230,5868,2,429,798,5,34,313,1204,71,457,90,957,518,136,486,20,333,15,2,1227,4639,75192,35,3153,23862,77,1619,5461,10279,839,1650,5228,5423,2219,1739,6985,434,4600,1589,35,27015,48142,98.6,7.4,53081483,17815989,52950947,28497816,4251737,5807163,0,8,1642,14,396,5588,6,225,2976,2,1610,2,2,125612,2075,912,857,20,5,117,74,192,108,306,15,1876
R27224,ëÂç„ï{,ê€í√és,85007,42365,42642,83729,41759,41970,11403,5827,5576,52471,26984,25487,20623,9263,11360,8292,3503,4789,934,831,700,3698,3922,36873,36840,84045,21785,12973,8142,4166,4198,520,197,1487,1487,4323,3,413,750,6,12,340,881,36,437,69,398,287,126,257,12,282,14,3,1163,3157,53658,49,3100,15261,83,191,9748,8657,439,1580,549,2392,1139,2158,3905,238,3423,746,49,18361,35248,96.4,5.3,40845863,17607301,40293509,14104967,3438864,4268491,0,6,997,10,300,4433,6,182,2332,3,2848,6,2,85540,661,486,349,11,4,57,43,85,49,159,19,2082
R27225,ëÂç„ï{,çÇêŒés,56529,26856,29673,56150,26714,29436,7613,3814,3799,33597,16520,17077,15223,6469,8754,7119,2746,4373,327,443,549,2128,2016,22461,22435,55280,15126,5918,5861,3043,2955,297,144,1130,1130,2198,1,194,143,3,15,76,491,24,182,52,285,210,123,237,10,144,8,1,337,1860,20818,2,1357,3942,244,31,1353,3073,330,590,297,1734,718,1220,3557,253,1307,810,2,5299,15517,98,15,22110160,10313698,21696843,8844427,2728745,1667889,0,3,131,7,186,3041,5,174,2695,3,3191,6,2,58069,1192,376,245,7,4,52,35,107,42,107,9,952
R27226,ëÂç„ï{,ì°à‰éõés,65438,30809,34629,64714,30490,34224,8621,4406,4215,38975,18757,20218,17413,7453,9960,7977,3118,4859,496,496,641,2015,2254,27133,27096,64493,17230,8234,6722,3592,3526,285,112,889,889,2888,2,202,226,8,15,43,631,47,336,71,444,256,142,299,9,147,10,2,428,2458,23338,10,1066,2669,96,93,1605,3932,794,947,381,3354,964,1704,4178,86,862,597,10,3735,19593,99.1,2.8,23147681,7909909,23076220,12063110,1900207,2316957,0,10,455,8,224,3552,4,134,1826,3,2527,1,1,66189,2405,498,403,5,3,73,42,129,57,168,12,1167
R27227,ëÂç„ï{,ìåëÂç„és,502784,246053,256731,478933,233971,244962,59078,30167,28911,295365,147997,147368,134685,59499,75186,59253,23899,35354,13564,3423,5077,12916,14423,223485,223227,494844,123967,84503,50186,25206,32045,2411,1041,6178,5169,26136,12,1517,6321,26,113,910,6115,262,1815,513,2837,1726,766,1925,80,1141,57,12,7838,18286,248510,58,9504,65358,1400,752,20801,55367,4198,6151,3087,16977,7639,11369,30002,1058,11303,3486,58,74862,173590,92.8,4.9,208150324,75078959,205784591,103161769,18000753,28498091,0,35,3851,52,1429,23535,27,894,13136,14,13934,32,6,497066,3871,3619,2581,77,21,406,297,792,381,706,66,7421
R27228,ëÂç„ï{,êÚìÏés,62438,29859,32579,61468,29423,32045,8926,4527,4399,36127,17706,18421,16799,7347,9452,7435,2943,4492,448,442,619,1589,1843,22800,22766,60605,15364,5273,6321,3369,2620,265,115,4898,2657,2266,6,179,246,10,6,137,569,17,172,45,210,201,98,195,14,146,15,6,425,1835,24898,40,1022,4642,117,19,3269,4462,194,433,366,1925,1011,1091,3821,525,1390,571,40,5664,19194,99.8,11.6,22390321,8945948,22143185,10267880,1533727,1756409,136102,4,849,10,261,3651,4,137,2003,1,699,4,1,63530,7094,464,186,9,6,36,20,81,35,69,6,875
R27229,ëÂç„ï{,élûäìÎés,56075,27468,28607,55498,27170,28328,7892,4135,3757,33271,16618,16653,14261,6317,7944,5809,2385,3424,401,378,466,1757,1988,22089,22065,55076,14507,6024,5486,2893,2569,228,120,1869,1126,1810,3,170,142,5,9,38,393,16,238,43,225,175,87,161,8,89,8,3,312,1495,14594,49,895,1546,43,20,971,2719,169,492,140,1354,729,1316,3208,155,385,403,49,2441,12104,92,7.9,19679083,6583076,19168087,9009910,1677128,1501456,0,4,500,7,194,3193,4,126,1769,1,1080,1,2,56348,311,327,189,6,3,36,17,81,30,76,10,1041
R27230,ëÂç„ï{,åñÏés,76435,36661,39774,76032,36465,39567,10623,5474,5149,45681,22163,23518,20048,8983,11065,8507,3718,4789,348,547,646,2268,2278,28923,28869,75134,21243,5939,8266,4666,2980,301,141,2555,1737,2115,3,212,189,3,14,40,461,25,136,97,209,190,152,244,11,120,9,3,401,1711,19428,20,1081,3192,47,20,766,3821,252,405,361,1371,983,1689,3700,236,680,804,20,4273,15135,94.3,13,26115389,9309426,25344252,10015032,1665350,4695993,18404,9,1302,10,265,4282,5,187,2918,2,2090,0,1,77944,1035,383,176,9,2,49,36,72,46,107,10,1198
