code,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R36387,ìøìáåß,î¸îgí¨,7092,3302,3790,7057,3292,3765,579,287,292,3305,1674,1631,3208,1341,1867,1876,721,1155,35,38,150,142,217,2901,2886,6585,1635,879,1026,650,554,17,6,14074,1541,431,3,47,31,1,4,5,107,3,17,9,44,42,25,31,11,37,12,5,78,348,2467,30,186,244,4,27,22,382,27,21,78,147,185,100,643,65,88,190,58,430,1979,252,104,91.1,4.7,6444317,511448,6228545,1374960,329021,499914,84057,0,0,5,31,209,4,27,100,0,0,2934,1618,1316,189,129,60,3383,1265,2118,466,577,1858,32,1,6996,2761,91,31,0,1,8,3,11,3,15,3,108
R36388,ìøìáåß,äCózí¨,9283,4351,4932,9111,4290,4821,818,441,377,4451,2194,2257,3987,1701,2286,2246,855,1391,172,36,192,199,234,4198,4186,9012,2263,1454,1322,786,845,24,9,32767,2848,595,9,65,44,2,0,11,172,4,6,13,69,56,20,37,11,58,13,14,109,472,3657,56,358,792,8,0,41,752,46,8,23,290,111,189,550,62,216,110,101,1150,2406,428,222,80.6,1.2,8540715,758821,8315377,1760349,765111,1021568,91923,1,26,3,38,314,2,30,197,1,322,4210,2242,1968,237,164,73,3975,1477,2498,693,1077,2431,5,2,9460,1399,138,42,0,1,6,7,11,9,25,3,117
R36401,ìøìáåß,èºñŒí¨,15204,7585,7619,15090,7523,7567,2100,1050,1050,9388,4879,4509,3568,1545,2023,1650,611,1039,61,127,138,756,790,5881,5858,14283,3458,1832,1130,601,470,83,25,1424,1418,649,5,52,52,4,3,48,163,7,41,16,71,46,25,53,5,45,12,5,105,539,9250,39,321,2653,19,3,1350,1447,49,227,63,581,171,185,1085,67,263,726,39,2975,6236,195,30,77.8,-2.5,6412166,2710836,6267925,1880029,1259829,808579,0,4,267,3,65,833,1,32,404,0,0,7286,4155,3131,353,230,123,4929,1826,3103,628,1956,4605,1,1,15221,118,116,51,3,2,11,6,20,12,26,3,252
R36402,ìøìáåß,ñkìáí¨,22446,10826,11620,22153,10673,11480,3392,1755,1637,13480,6598,6882,5385,2391,2994,2477,985,1492,96,227,203,997,923,8824,8813,22040,5488,2452,1869,992,818,122,28,874,874,867,3,71,51,3,3,22,243,16,60,20,81,96,51,88,4,49,6,3,122,742,8916,36,485,1256,17,29,645,2213,196,219,194,653,361,354,1501,56,495,206,36,1741,7139,139,113,86.6,4.9,7834265,3219863,7516667,2919753,909457,941270,0,3,273,3,94,1377,1,47,628,0,0,10388,5774,4614,421,262,159,7269,2563,4706,259,2809,6961,1,1,23073,235,210,71,4,3,21,15,57,23,93,7,588
R36403,ìøìáåß,óïèZí¨,34626,16574,18052,34349,16444,17905,5361,2764,2597,21445,10312,11133,7591,3367,4224,3151,1141,2010,131,331,264,1394,1394,13133,13104,33898,8488,3238,2588,1355,1082,183,74,1627,1627,1389,2,132,79,1,5,20,411,23,57,43,164,167,59,141,8,70,7,2,211,1176,13078,4,644,3121,8,28,311,3298,177,239,140,1408,619,538,1815,77,471,180,4,3765,9309,322,186,82.4,4.4,11634281,4130865,11137153,4366388,532904,1527574,0,4,672,4,143,2111,2,79,1028,0,0,16175,8776,7399,1034,660,374,10781,3685,7096,744,4432,10758,0,1,35078,684,337,137,8,2,28,18,46,25,70,5,458
R36404,ìøìáåß,î¬ñÏí¨,13358,6355,7003,13244,6340,6904,1451,773,678,7851,3869,3982,4019,1699,2320,2009,745,1264,111,94,196,413,372,4930,4912,12871,2805,1251,1278,625,566,46,17,3622,1964,539,5,60,45,1,4,17,132,3,11,15,49,51,24,57,10,44,10,6,105,428,5433,131,325,839,5,167,458,823,42,45,89,163,134,483,1136,96,292,203,133,1164,4136,327,236,88.6,9.5,6091126,1591772,5557070,2020166,543163,521976,6390,4,172,4,53,594,1,26,307,1,517,5932,3197,2735,386,262,124,5188,1919,3269,644,1487,3668,2,1,13619,709,110,37,2,2,12,6,36,11,34,2,215
R36405,ìøìáåß,è„î¬í¨,12039,5721,6318,11974,5701,6273,1344,684,660,6777,3315,3462,3778,1648,2130,1847,690,1157,63,69,183,249,278,4256,4244,11613,2517,868,1159,591,454,35,16,3458,2243,456,11,51,53,1,1,8,125,3,4,9,25,47,20,45,9,36,7,12,104,340,3627,97,236,575,5,5,266,730,22,17,58,153,154,131,824,90,157,103,101,811,2715,492,291,90.8,7,5409331,1179026,5139286,1760354,417981,581545,0,4,144,4,62,549,1,29,312,0,0,5377,2924,2453,309,211,98,4505,1643,2862,778,1282,3197,1,0,12259,1325,97,19,2,0,9,6,22,8,16,1,154
R36468,ìøìáåß,Ç¬ÇÈÇ¨í¨,8927,4140,4787,8905,4136,4769,749,395,354,4308,2203,2105,3869,1541,2328,2374,816,1558,22,31,231,117,266,3838,3828,8635,2050,1257,1204,720,877,22,10,19484,2811,539,5,60,71,4,1,6,149,8,21,8,41,54,23,40,5,32,11,5,131,403,3935,22,378,1227,18,2,49,582,60,33,26,158,89,221,708,43,139,180,22,1605,2308,274,653,99.5,8.6,8417154,789534,8258928,2160468,748308,566408,210476,5,76,5,39,272,4,32,197,1,520,3733,2029,1704,190,147,43,4244,1565,2679,338,1129,2245,8,0,9361,1834,117,28,1,3,8,5,27,6,28,2,96
R36489,ìøìáåß,ìåÇ›ÇÊÇµí¨,14638,6959,7679,14564,6936,7628,1730,875,855,8115,4083,4032,4769,1985,2784,2721,967,1754,73,99,214,340,384,5325,5310,13841,2977,1358,1304,719,730,55,27,12248,2611,733,9,89,58,2,2,13,180,7,36,18,80,95,22,47,11,55,9,9,147,577,4760,50,452,687,8,4,101,978,72,68,60,389,252,179,1031,62,241,126,50,1139,3571,507,652,89.4,5.2,8507545,1293824,7939735,2219836,909701,616306,12701,6,99,7,66,691,2,38,356,0,0,7025,3752,3273,336,227,109,5456,2049,3407,592,1844,4507,12,1,14509,2814,145,58,1,2,8,7,20,12,21,3,371
R37201,çÅêÏåß,çÇèºés,420748,205049,215699,411933,200683,211250,55082,28198,26884,240958,119806,121152,109369,47398,61971,52309,20094,32215,2447,3311,4467,12845,12975,182047,181690,410066,101559,65082,38326,21624,20829,2076,752,37541,23364,23223,80,1988,1471,30,290,514,6163,499,1913,1082,2833,1783,840,1700,117,1717,164,98,3480,19645,230615,591,15699,20051,1949,5062,11938,51771,7837,6718,6279,20333,9242,10614,31609,2340,19149,9239,701,35834,194080,4870,3812,90.2,8.7,175909665,64314910,172499393,66447872,13358118,20800805,165695,47,5193,52,1481,23645,29,889,12067,14,12039,191429,106251,85178,8194,5235,2959,137121,48011,89110,5085,37586,141640,0,5,429038,14932,3696,2296,77,31,415,236,1199,344,1172,76,8688
