code,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2107,C210703,C210708,C210709,C210710,C210711,C210712,C210713,C210716,C210717,C210718,C210719,C210720,C210721,C210722,C210723,C210724,C210725,C2110,C2111,C2112,C2207,C220703,C220708,C220709,C220710,C220711,C220712,C220713,C220716,C220717,C220718,C220719,C220720,C220721,C220722,C220723,C220724,C220725,C2210,C2211,C2212,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
year,îNìx,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2016,2016,2016,2017,2017,2017,2016,2016,2016,2017,2017
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅi65çŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêî,éñã∆èäêîÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiåöê›ã∆Åj,éñã∆èäêîÅiêªë¢ã∆Åj,éñã∆èäêîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,éñã∆èäêîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆éñã∆èäêî,ëÊÇQéüéYã∆éñã∆èäêî,ëÊÇRéüéYã∆éñã∆èäêî,è]ã∆é“êî,è]ã∆é“êîÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiåöê›ã∆Åj,è]ã∆é“êîÅiêªë¢ã∆Åj,è]ã∆é“êîÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiåˆñ±ÅiëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠ÅjÅj,ëÊÇPéüéYã∆è]ã∆é“êî,ëÊÇQéüéYã∆è]ã∆é“êî,ëÊÇRéüéYã∆è]ã∆é“êî,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,13248,19343,117434,109504,921837,920415,1899980,493644,375242,178246,98660,104650,9878,4024,112126,43898,76604,103,6701,2611,68,1459,1697,18585,1420,8822,4139,10168,6427,2526,6524,303,4746,294,105,9321,67178,912841,1331,61706,38170,4390,31952,47454,195399,24911,34186,30961,87304,42136,46826,128742,7785,99791,29737,1345,99922,811574,461,346,93.6,2.8,980747975,292399779,966533376,404761083,128952110,162101641,0,113,19598,205,4967,90450,107,2975,44899,52,44345,844313,460571,383742,48619,29114,19505,651052,215570,435482,3790,118503,645868,1,11,1951640,6549,11197,8502,355,178,1351,1229,6614,2113,5398,287,26613
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1418,3761,8249,9590,123950,123651,255149,66690,48247,29540,16258,20148,1065,507,67787,12334,13795,24,1224,612,17,100,275,3590,278,976,440,2216,1369,494,1035,104,932,86,44,1839,11912,124215,201,8728,9798,625,1270,6897,24804,3124,3174,2877,13084,6446,5599,20957,1362,10227,4725,493,18551,105171,212,157,91.3,7.9,141331406,32208730,140296035,60809188,13540612,14812227,0,19,1898,48,782,10657,25,469,5917,15,6969,117125,62636,54489,6551,4054,2497,103553,34217,69336,4137,19490,86480,3,1,263101,28650,2533,1749,41,28,210,129,801,183,680,49,3524
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,480,1901,2894,3936,55466,55299,116724,31709,19911,15984,8950,10585,322,181,24383,8009,6090,2,422,461,12,26,217,1786,99,208,143,939,557,202,535,38,390,45,9,884,5197,56650,8,2658,8275,267,121,3321,12988,918,802,989,5301,2381,3161,9878,548,3101,1818,119,10937,45594,95,66,99.5,7.9,57326414,13397731,57105770,25226933,6896707,4108367,0,14,921,18,340,4351,13,234,2405,8,3299,51317,27330,23987,3080,1984,1096,53928,18733,35195,710,8909,39508,0,1,117924,3500,1289,778,17,12,83,78,322,102,326,22,1370
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,2120,4377,9960,10630,155747,155218,326243,88393,57488,38167,23059,22400,1412,666,74766,35194,15201,76,1437,779,13,110,367,3795,331,1233,496,2100,1439,465,1458,97,922,80,76,2219,12906,154350,799,11639,10800,722,1157,8183,33338,3671,3566,3448,12815,6542,8340,27297,1879,13044,7088,799,22461,131090,1133,298,95.4,7.8,159077308,40022339,157702125,74255894,19847021,12292433,175606,29,2677,55,1208,15319,28,649,8268,13,8992,152385,82441,69944,7697,4593,3104,128509,43521,84988,4069,26028,116152,28,5,340523,6570,2612,1743,65,36,240,175,1339,254,867,67,5715
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,476,1271,2970,3590,43616,43536,86029,23014,18486,10954,6773,7295,377,113,8088,4327,4423,1,453,230,9,36,122,1039,100,279,147,748,379,122,308,25,384,41,1,683,3739,47415,24,4524,8016,324,582,2600,7498,983,876,1621,3430,1553,2421,7110,409,3975,1469,24,12540,34851,16,7,93.8,9.6,46132340,13267323,45343862,17490787,6855621,5976255,18855,10,1015,13,268,3437,8,157,1915,6,2891,37286,22145,15141,1957,1273,684,37414,13467,23947,351,9384,26169,0,1,86073,2530,748,621,11,6,55,44,272,63,196,10,1039
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,1018,2313,5706,6583,82078,81846,169155,45098,31697,19105,11305,11926,733,372,136290,30910,8871,33,723,364,17,60,293,2051,197,839,300,1449,813,281,680,47,616,79,53,1096,7722,80833,280,5596,6077,528,456,5873,15700,2324,1993,1978,8105,3376,3693,13200,546,6950,3387,622,12102,68109,185,18,96.6,10.9,94965331,20939951,94772700,38341655,11474968,9341933,28337,26,2094,27,614,7729,17,357,4120,8,4418,74840,41632,33208,3548,2152,1396,66161,23208,42953,1679,13682,54775,1,2,172784,11503,1391,1151,29,15,81,91,357,107,347,26,1701
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1158,1826,7164,7336,77707,77525,163589,42823,29720,16117,9615,8907,877,329,61934,38281,9083,71,922,354,11,75,193,2252,208,442,358,1531,868,320,722,47,652,51,72,1281,7730,87443,958,7264,5753,342,639,4383,19517,2446,1758,2652,8834,3877,3558,13632,421,6692,4689,963,13040,73440,653,32,92.3,8.7,85421544,22223735,85000314,32305719,9203426,6739468,1199218,13,1974,26,605,8100,14,338,3982,8,5085,79840,44102,35738,3137,1793,1344,55718,19135,36583,3923,14264,56126,0,1,167657,4574,1567,1378,32,18,103,97,493,138,395,31,2774
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,755,1439,3850,4244,56202,56043,117577,31420,21103,13045,8072,7328,498,243,142741,42518,5944,135,532,256,15,49,163,1515,117,371,189,842,511,181,496,47,437,63,153,795,4996,54546,919,4930,3770,305,831,3088,12325,1265,1209,1023,4832,2192,2705,8054,807,4088,1854,1165,8803,44578,869,124,91.1,8.8,74186103,14507449,73796053,22781969,12393145,7808853,1088281,8,837,24,467,5371,14,266,2764,8,3100,55971,31001,24970,2303,1426,877,41549,14556,26993,3903,9632,38336,8,9,118776,4645,1039,663,28,12,65,54,226,79,212,25,1446
R01209,ñkäCìπ,ó[í£és,8843,4092,4751,8755,4089,4666,500,241,259,4045,2090,1955,4296,1759,2537,2527,1004,1523,88,25,198,185,288,4539,4526,8460,2256,1984,1443,922,1178,13,6,76307,11165,526,10,32,24,7,3,9,137,6,9,6,68,60,11,51,15,65,13,10,56,460,3506,57,272,683,42,4,106,545,25,27,29,302,155,141,602,105,208,203,57,955,2494,135,26,121.8,73.5,11619432,914412,11334140,2378902,1410921,881453,0,1,17,1,21,204,1,18,100,1,66,3721,2049,1672,217,158,59,4395,1638,2757,582,815,2315,1,0,8470,3705,119,40,0,0,6,5,10,9,15,3,92
R01210,ñkäCìπ,ä‚å©ëÚés,84499,39319,45180,84215,39201,45014,8983,4597,4386,47848,23127,24721,27503,11509,15994,13958,5334,8624,96,433,1164,2536,2891,36155,36060,81202,21610,11431,9773,5712,5234,264,127,48102,31831,3497,97,312,131,3,31,82,815,54,265,144,457,342,105,322,26,264,46,97,444,2956,33637,805,2675,2640,147,154,1753,6725,538,711,828,2792,1675,1417,5880,640,2451,1790,805,5331,27501,1041,224,96.8,5.9,52615961,8564750,52511632,14799871,8741001,7175502,0,5,766,15,299,3645,10,185,1932,4,2495,37845,20877,16968,1962,1229,733,33547,11532,22015,3308,6710,26484,0,2,83091,4685,625,381,10,5,59,48,182,63,137,18,1193
R01211,ñkäCìπ,ñ‘ëñés,39077,19819,19258,38807,19726,19081,4571,2358,2213,23698,12794,10904,10691,4578,6113,5246,2038,3208,188,230,453,1529,1964,18035,17984,37138,9153,7571,3803,2316,2169,149,62,47100,21594,2036,37,175,110,5,20,46,439,38,165,86,311,168,61,151,20,146,30,64,286,1686,19230,546,1412,1755,65,218,679,3122,353,367,858,2018,855,1137,2547,413,1120,1451,856,3171,15203,349,22,95.4,16.4,24260454,4823816,24138068,5986331,3528294,2179986,132208,5,425,9,193,1697,6,106,880,2,1026,17955,10232,7723,651,403,248,14472,6004,8468,2230,2875,12170,0,1,36380,1252,345,242,5,4,16,17,66,20,56,5,291
R01212,ñkäCìπ,óØñGés,22221,10516,11705,22106,10498,11608,2290,1137,1153,12391,6298,6093,7513,3069,4444,3761,1449,2312,99,121,293,921,1203,10402,10358,21320,5774,3877,2678,1655,1619,77,28,29784,5202,1241,8,95,46,5,10,45,320,36,49,45,191,116,25,99,9,112,28,9,142,1090,11121,89,1216,885,51,48,683,1911,272,133,473,760,449,327,1645,195,669,1295,93,2117,8911,67,25,93.8,15.2,13752392,2315087,13531245,3862082,2730697,816135,0,2,208,5,100,862,2,51,455,1,558,10813,6173,4640,534,366,168,8488,2798,5690,358,2200,8213,1,1,21498,1762,243,137,3,2,16,13,47,14,47,3,304
R01213,ñkäCìπ,ìœè¨ñqés,172737,84605,88132,172161,84301,87860,22401,11469,10932,105217,53472,51745,44469,19164,25305,20468,7919,12549,405,1232,1856,5812,5787,78298,78145,167749,45158,28681,16374,9876,9201,843,380,56157,20182,7723,20,978,375,21,36,455,1798,155,380,245,1084,706,297,546,27,550,40,22,1361,6340,84199,356,8413,11855,556,513,8745,15369,1495,1498,1364,6813,4221,2896,9811,937,7220,1867,361,20533,63305,47,21,88,6.6,78596523,27944154,76925526,31993145,9207094,6955333,30413,15,2445,24,597,9058,15,343,4478,7,3967,76793,45241,31552,3424,2091,1333,58140,19148,38992,1273,19105,50802,1,1,172556,727,1232,859,26,11,92,79,332,111,299,24,1979
R01214,ñkäCìπ,ítì‡és,36380,17809,18571,36082,17721,18361,4304,2218,2086,21570,11172,10398,10505,4419,6086,5051,1963,3088,298,197,386,1252,1639,16486,16445,35399,9191,5972,3923,2227,2084,118,62,76147,31932,2102,14,195,125,7,15,45,487,53,137,56,346,189,61,125,23,166,41,28,323,1751,18538,149,1800,2110,122,56,856,3720,480,303,542,1763,751,887,1925,325,1214,1268,408,3918,14212,152,3,93.1,13.6,27149684,4553202,26941920,5859014,3511590,3367846,10973,5,506,11,161,1527,7,105,802,2,955,16928,9972,6956,887,567,320,11562,3722,7840,1287,3390,11267,0,1,34991,835,312,273,5,3,16,13,40,19,57,6,346
R01215,ñkäCìπ,î¸âSés,23035,10753,12282,23000,10736,12264,1973,1039,934,12205,6074,6131,8853,3638,5215,4740,1775,2965,33,88,434,462,723,10173,10098,21799,5620,3567,2952,1771,1992,48,35,27769,15776,1098,35,118,63,6,3,34,216,18,77,15,141,108,42,82,15,101,19,35,186,877,9647,245,1105,935,46,33,649,1287,142,156,214,740,391,576,1587,312,514,662,245,2093,7309,593,92,102.8,14.1,15503600,2100264,15488001,4809539,2167023,1078456,0,3,127,5,76,732,4,57,420,2,561,10047,5539,4508,515,363,152,10191,3640,6551,1436,2097,6276,4,1,21987,4066,167,104,1,4,11,14,42,17,31,5,204
R01216,ñkäCìπ,à∞ï és,14676,6667,8009,14634,6657,7977,1109,566,543,7160,3473,3687,6405,2626,3779,3503,1338,2165,42,49,271,278,425,6862,6828,14016,3897,2395,2202,1376,1440,40,15,86504,13704,749,25,45,48,5,3,16,169,14,21,8,116,78,20,70,15,78,15,25,96,628,5825,263,301,1200,32,6,237,915,79,42,43,397,241,263,1006,80,331,322,263,1568,3994,242,50,94.6,7.6,10817848,1491658,10787056,3242270,1123166,957976,17165,1,111,2,36,397,2,29,232,1,292,6152,3283,2869,328,216,112,7006,2552,4454,642,1691,3778,0,1,13855,2807,135,84,1,2,5,8,18,10,25,1,103
R01217,ñkäCìπ,ç]ï és,120636,57391,63245,120094,57109,62985,13524,6868,6656,74253,36364,37889,32585,13970,18615,15521,6032,9489,391,577,1276,5013,4403,51983,51905,117458,32310,16659,12742,7527,5849,362,173,18738,16763,3579,42,407,155,8,29,95,792,44,259,112,367,354,238,404,21,227,24,43,562,2974,36951,384,2876,3892,187,590,2956,7541,390,769,1097,2500,1522,3428,5792,397,1826,803,385,6768,29798,355,43,93.8,8.6,44776206,12437669,44131052,17001020,6964722,3705734,0,8,996,17,410,5690,9,275,3537,5,4027,53086,29622,23464,2671,1733,938,47566,17098,30468,1439,9540,39322,3,4,118979,1108,596,297,25,5,68,69,185,85,173,10,900
R01218,ñkäCìπ,ê‘ïΩés,11105,5025,6080,11051,5004,6047,835,428,407,5306,2554,2752,4964,2043,2921,2727,1052,1675,54,30,208,253,363,4980,4948,9987,2770,1828,1617,1011,1098,24,10,12988,3669,502,4,46,34,3,2,15,122,9,15,5,60,52,14,52,7,46,15,4,81,417,4940,45,408,1144,12,3,257,618,70,45,14,240,311,135,1120,34,213,256,45,1567,3328,77,13,101.1,16.1,10968703,865415,10613806,2581591,1502392,2186090,69107,1,48,3,45,331,1,17,163,0,0,4474,2360,2114,268,190,78,5471,2021,3450,207,1219,2994,2,1,10538,2023,107,46,1,2,3,5,29,5,20,2,106
R01219,ñkäCìπ,ñ‰ï és,23109,10954,12155,22705,10863,11842,2329,1221,1108,12707,6347,6360,7631,3082,4549,3864,1406,2458,310,104,343,749,978,11127,11101,22382,5900,4461,2760,1676,1683,81,47,83067,17451,1403,18,114,107,6,6,45,336,32,90,38,201,135,42,79,17,103,27,24,222,1157,11497,153,880,2154,79,36,596,2050,188,186,191,907,526,549,1207,520,672,510,227,3053,8217,109,6,88.8,10.5,19448354,3017457,19084808,4134083,2942184,2021934,11626,1,86,6,101,871,3,54,482,1,467,11270,6212,5058,398,256,142,8143,2670,5473,1017,2877,6940,3,1,22630,2766,234,161,2,5,8,11,36,14,29,5,226
R01220,ñkäCìπ,émï és,19914,9382,10532,19815,9311,10504,2066,1066,1000,10384,5195,5189,7451,3112,4339,4144,1656,2488,57,84,263,442,648,8650,8625,19194,5068,2703,2516,1690,1331,42,29,111922,27978,1242,46,111,64,4,2,20,283,18,78,31,175,101,54,107,17,103,26,46,177,1019,9824,395,1169,597,37,13,356,1674,146,173,396,700,290,436,1593,272,1062,501,395,1780,7649,574,63,99.4,13.3,16924674,2271553,16903165,3785744,2472054,2166603,0,3,111,7,109,792,5,70,445,2,407,9507,5316,4191,313,191,122,7773,2663,5110,1730,1655,5805,17,2,19207,1243,209,127,3,1,13,11,22,12,31,3,221
R01221,ñkäCìπ,ñºäÒés,29048,14072,14976,28926,14011,14915,3453,1763,1690,16755,8565,8190,8794,3716,5078,4605,1790,2815,118,230,349,1275,1482,13086,13012,27548,7179,4938,3099,2015,1658,121,38,53520,19852,1505,19,101,60,8,8,43,363,35,150,43,216,144,57,101,14,113,29,19,162,1324,14255,156,855,658,121,73,797,2847,335,290,229,1204,539,630,2157,411,809,2130,156,1527,12572,593,117,90.5,8.4,22635478,3081446,22152789,4761231,2656043,5101000,672,4,343,8,136,1295,4,79,609,2,655,14377,8310,6067,451,289,162,10132,3390,6742,1666,1612,10652,19,2,28048,1568,291,184,5,4,10,15,92,22,54,5,353
R01222,ñkäCìπ,éOä}és,9076,4075,5001,9059,4063,4996,694,336,358,4199,2109,2090,4181,1629,2552,2400,846,1554,17,37,208,292,338,4254,4241,8537,2313,1649,1407,819,1050,35,12,30252,5678,440,11,38,34,4,0,15,116,5,11,6,44,45,10,29,7,51,13,11,73,356,4124,190,352,691,21,0,172,733,20,57,36,220,100,129,642,42,511,190,190,1061,2873,69,23,93.7,6.5,10795378,895307,10626981,2375507,1604351,1437616,13585,1,52,2,32,272,2,29,161,1,119,3400,1905,1495,247,169,78,4719,1653,3066,310,667,2413,1,1,8824,2293,99,33,1,2,4,4,16,4,14,2,121
R01223,ñkäCìπ,ç™é∫és,26917,12862,14055,26633,12807,13826,3033,1570,1463,15533,7830,7703,8285,3413,4872,4096,1570,2526,253,135,337,805,1037,11383,11363,26247,6314,3692,2885,1595,1498,106,55,41141,20785,1609,14,115,157,6,12,41,373,32,55,32,266,166,47,86,22,110,35,53,273,1283,13392,93,682,2589,60,42,465,2480,275,128,174,1072,525,455,1181,380,1289,1084,504,3278,9610,100,1,95,8.7,22604453,3067283,22509912,4629803,1793369,1407047,36482,3,291,8,121,1110,7,104,619,2,594,13876,7766,6110,542,353,189,8907,2863,6044,2768,3162,7751,4,1,26526,7827,266,194,5,1,7,12,33,13,24,7,368
R01224,ñkäCìπ,êÁçŒés,95648,48588,47060,95212,48398,46814,13573,7011,6562,61908,32634,29274,19979,8851,11128,9217,3820,5397,435,762,771,5795,5641,40638,40465,91267,24115,14048,7774,4454,3742,607,211,59450,19623,3269,39,245,153,7,17,136,857,56,135,85,631,311,129,232,17,182,32,42,400,2827,50231,406,2013,7172,140,82,4792,7717,493,1066,706,4670,2242,1472,4210,293,2679,10042,439,9188,40604,181,42,91.9,9.5,40453592,14893642,40379238,13169992,4767952,4688104,0,8,1447,17,318,5504,9,178,2660,2,1709,46015,27907,18108,1933,1209,724,29641,9992,19649,1303,8253,34047,12,1,96711,1340,701,535,19,6,55,47,123,63,140,12,976
R01225,ñkäCìπ,ëÍêÏés,41192,19475,21717,41054,19402,21652,4456,2327,2129,23001,11284,11717,13353,5615,7738,6738,2619,4119,80,238,582,1903,2052,18651,18600,39552,10717,6591,4710,2965,2670,173,75,11590,10206,2033,16,205,67,5,10,51,482,42,118,62,342,216,71,169,12,137,26,16,274,1743,17631,140,1785,669,97,78,878,3887,469,392,393,1757,819,811,2927,298,1054,1169,140,2462,15029,329,74,95.5,10.6,21081822,4366973,20358978,6661916,3295508,2097621,11955,2,307,6,139,1817,4,82,909,3,1652,18850,10458,8392,760,501,259,15751,5380,10371,926,3385,13819,1,1,40958,4996,377,278,8,5,24,25,89,31,97,5,483
R01226,ñkäCìπ,çªêÏés,17694,8216,9478,17666,8201,9465,1758,871,887,9355,4573,4782,6390,2670,3720,3369,1299,2070,23,100,277,633,697,7858,7840,17017,4627,2594,2323,1452,1195,55,26,7868,4884,893,9,92,41,5,2,29,214,12,39,25,145,83,31,77,7,68,10,9,137,747,8907,151,1109,750,137,3,483,1714,87,129,93,671,354,297,1752,163,733,249,151,1891,6865,202,37,82.7,5.8,13241884,2070265,12837770,3374823,2534758,1284289,58752,1,124,5,83,676,2,35,401,1,292,7740,4210,3530,324,215,109,7444,2697,4747,463,1755,5339,1,1,17439,627,166,111,3,1,8,8,101,13,58,3,217
R01227,ñkäCìπ,âÃéuì‡és,3585,1652,1933,3581,1650,1931,217,122,95,1696,864,832,1672,666,1006,915,316,599,4,6,86,73,122,1665,1659,3263,920,637,561,326,369,7,2,5595,1398,164,1,18,6,3,1,4,34,3,2,0,12,17,8,22,3,21,7,1,26,137,1270,1,136,85,6,4,53,165,10,5,0,66,52,66,397,9,85,90,1,261,1008,1,0,96.1,12.4,6015074,203453,5822941,1286102,608617,264837,14843,0,0,1,14,75,1,13,51,0,0,1306,732,574,115,86,29,1947,712,1235,34,329,940,0,1,3439,204,31,6,0,1,4,2,4,2,4,1,13
R01228,ñkäCìπ,ê[êÏés,21909,10118,11791,21846,10087,11759,1995,997,998,11281,5551,5730,8616,3564,5052,4685,1855,2830,49,88,349,648,830,9669,9636,20605,5550,3297,2861,1875,1554,63,23,52942,21452,1130,30,85,48,4,4,24,270,17,70,34,176,112,36,88,20,89,22,30,134,966,9270,266,683,465,62,25,399,1712,138,180,332,854,472,538,1911,269,613,347,266,1152,7852,653,191,84.4,14.6,18330304,2191750,18092395,4126059,2015639,3137248,32352,2,132,6,81,727,2,39,429,2,459,10006,5389,4617,294,183,111,9414,3452,5962,1743,1267,6885,7,1,21308,1602,207,138,4,3,14,13,53,17,39,9,378
