SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
,,îNìx,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2019,2019,2019,2019,2015,2015,2015,2015,2015,2015,2015,2015,2019,2019,2019,2019,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2014,2014,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2016,2016,2016,2018,2018,2018,2018,2018,2018,2017,2017
ínàÊÉRÅ[Éh,ìsìπï{åß,ésãÊí¨ë∫,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,75çŒà»è„êlå˚,75çŒà»è„êlå˚ÅiíjÅj,75çŒà»è„êlå˚ÅièóÅj,äOçëêlêlå˚,èoê∂êî,éÄñSêî,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ê¢ë—êî,àÍî ê¢ë—êî,àÍî ê¢ë—êlàıêî,äjâ∆ë∞ê¢ë—êî,íPì∆ê¢ë—êî,65çŒà»è„ÇÃê¢ë—àıÇÃÇ¢ÇÈäjâ∆ë∞ê¢ë—êî,çÇóÓïvïwÇÃÇ›ÇÃê¢ë—êî,çÇóÓíPêgê¢ë—êîÅi65çŒà»è„ÇÃé“ÇPêlÅj,ç•à˜åèêî,ó£ç•åèêî,ëçñ êœÅiñkï˚ínàÊãyÇ—í|ìáÇèúÇ≠Åj,â¬èZínñ êœ,éñã∆èäêîÅiñØâcÅj,éñã∆èäêîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiãôã∆Åj,éñã∆èäêîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,éñã∆èäêîÅiñØâcÅjÅiåöê›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiêªë¢ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,éñã∆èäêîÅiñØâcÅjÅièÓïÒí êMã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,éñã∆èäêîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,éñã∆èäêîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,éñã∆èäêîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,éñã∆èäêîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,éñã∆èäêîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,éñã∆èäêîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,éñã∆èäêîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,è]ã∆é“êîÅiñØâcÅj,è]ã∆é“êîÅiñØâcÅjÅiî_ã∆ÅCó—ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiãôã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiçzã∆ÅCçÃêŒã∆ÅCçªóòçÃéÊã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiåöê›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiêªë¢ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiìdãCÅEÉKÉXÅEîMãüããÅEêÖìπã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièÓïÒí êMã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâ^óAã∆ÅCóXï÷ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiâµîÑã∆ÅCè¨îÑã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã‡óZã∆ÅCï€åØã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiïsìÆéYã∆ÅCï®ïií¿ë›ã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiäwèpå§ãÜÅCêÍñÂÅEãZèpÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅièhîëã∆ÅCà˘êHÉTÅ[ÉrÉXã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiê∂äàä÷òAÉTÅ[ÉrÉXã∆ÅCå‚äyã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiã≥àÁÅCäwèKéxâáã∆Åj,è]ã∆é“êîÅiñØâcÅjÅià„ó√ÅCïüéÉÅj,è]ã∆é“êîÅiñØâcÅjÅiï°çáÉTÅ[ÉrÉXéñã∆Åj,è]ã∆é“êîÅiñØâcÅjÅiÉTÅ[ÉrÉXã∆ÅiëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃÅjÅj,î_â∆êîÅiîÃîÑî_â∆Åj,î_â∆êîÅié©ããìIî_â∆Åj,åoèÌé˚éxî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,é¿éøåˆç¬îÔî‰ó¶Åiésí¨ë∫ç‡ê≠Åj,çŒì¸åàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ínï˚ê≈Åiésí¨ë∫ç‡ê≠Åj,çŒèoåàéZëçäzÅiésí¨ë∫ç‡ê≠Åj,ñØê∂îÔÅiésí¨ë∫ç‡ê≠Åj,ìyñÿîÔÅiésí¨ë∫ç‡ê≠Åj,ã≥àÁîÔÅiésí¨ë∫ç‡ê≠Åj,ç–äQïúãåîÔÅiésí¨ë∫ç‡ê≠Åj,ócítâÄêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,ã`ñ±ã≥àÁäwçZêî,ã`ñ±ã≥àÁäwçZã≥àıêî,ã`ñ±ã≥àÁäwçZëOä˙â€íˆéôì∂êî,ã`ñ±ã≥àÁäwçZå„ä˙â€íˆê∂ìkêî,çÇìôäwçZêî,çÇìôäwçZê∂ìkêî,èAã∆é“êî,èAã∆é“êîÅiíjÅj,èAã∆é“êîÅièóÅj,äÆëSé∏ã∆é“êî,äÆëSé∏ã∆é“êîÅiíjÅj,äÆëSé∏ã∆é“êîÅièóÅj,îÒòJì≠óÕêlå˚,îÒòJì≠óÕêlå˚ÅiíjÅj,îÒòJì≠óÕêlå˚ÅièóÅj,ëÊÇPéüéYã∆èAã∆é“êî,ëÊÇQéüéYã∆èAã∆é“êî,ëÊÇRéüéYã∆èAã∆é“êî,åˆñØäŸêî,ê}èëäŸêî,ëçêlå˚ÅiîÒêÖêÙâªêlå˚Å{êÖêÙâªêlå˚Åj,îÒêÖêÙâªêlå˚,è¨îÑìXêî,à˘êHìXêî,ëÂå^è¨îÑìXêî,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,à„étêî,éïâ»à„étêî,ñÚç‹étêî,ï€àÁèäìôêî,ï€àÁèäìôç›èäéôêî
R01100,ñkäCìπ,éDñyés,1952356,910614,1041742,1937785,903535,1034250,221013,112743,108270,1235516,590111,645405,483534,201313,282221,225299,84053,141246,8820,12741,19778,117964,108578,921837,920415,1899980,493644,375242,178246,98660,104650,10117,3845,112126,43898,72451,93,2,8,6400,2349,46,1396,1639,18137,1369,7276,3985,9859,6261,2140,6680,294,4516,838911,875,16,68,59550,36190,3019,29973,42158,192192,26134,32255,29672,83819,38382,32499,127350,7616,97140,461,346,95.6,2.2,986962117,325864999,978964290,415137899,130222340,155280172,1381224,110,18529,203,4987,90307,107,2982,44540,0,0,0,0,52,44270,844313,460571,383742,48619,29114,19505,651052,215570,435482,3790,118503,645868,1,12,1954662,6363,11197,8502,355,178,1354,1215,6763,2094,5485,287,26613
R01202,ñkäCìπ,îüäŸés,265979,120376,145603,264537,119819,144718,27131,13912,13219,152154,72223,79931,85931,33839,52092,42686,14949,27737,771,1305,4027,8166,9214,123950,123651,255149,66690,48247,29540,16258,20148,1098,495,67787,12334,12918,20,20,3,1134,579,11,95,265,3400,263,914,432,2094,1340,363,1000,97,888,112081,150,251,23,8268,9559,395,1246,6504,24511,3061,2838,2396,13421,5950,3180,19255,1412,9661,212,157,93.3,8.1,133112794,32006420,132508493,59258600,12704947,12779065,55641,14,1393,45,761,10347,25,462,5758,0,0,0,0,15,6793,117125,62636,54489,6551,4054,2497,103553,34217,69336,4137,19490,86480,2,1,259500,27341,2533,1749,41,28,211,130,787,187,700,49,3524
R01203,ñkäCìπ,è¨íMés,121924,54985,66939,121415,54722,66693,11171,5661,5510,65317,31183,34134,45240,18020,27220,22804,8063,14741,411,445,1819,2840,3638,55466,55299,116724,31709,19911,15984,8950,10585,386,180,24383,8009,5677,3,7,0,400,425,7,23,222,1679,81,190,133,896,529,149,520,38,375,50240,38,107,0,2487,8433,208,105,3401,10726,866,717,713,4895,3711,1399,8876,545,3013,95,66,97.7,7.9,55744582,13526934,55512473,25098619,6909341,2850697,0,14,864,18,351,4209,13,210,2307,0,0,0,0,8,3232,51317,27330,23987,3080,1984,1096,53928,18733,35195,710,8909,39508,0,1,115621,3149,1289,778,17,12,84,79,330,98,348,22,1370
R01204,ñkäCìπ,àÆêÏés,339605,156402,183203,335678,154716,180962,37173,18938,18235,191423,90649,100774,106444,44410,62034,51691,19833,31858,613,1958,4507,9802,10785,155747,155218,326243,88393,57488,38167,23059,22400,1449,652,74766,35194,14493,72,0,2,1376,747,8,109,363,3728,332,1118,491,2042,1393,307,1436,78,890,139204,730,0,8,11371,10723,528,1010,8626,33143,3711,3376,2892,13217,6027,4581,25884,1684,11688,1133,298,94.9,7.8,156330397,39956307,155177264,71612061,19489565,13031492,521676,28,2572,54,1202,14989,28,652,8064,0,0,0,0,13,9062,152385,82441,69944,7697,4593,3104,128509,43521,84988,4069,26028,116152,27,5,337998,8254,2612,1743,65,36,240,170,1364,254,879,67,5715
R01205,ñkäCìπ,é∫óñés,88564,43143,45421,88203,42935,45268,9185,4647,4538,49005,25831,23174,30118,12457,17661,14850,5688,9162,297,459,1312,2907,3541,43616,43536,86029,23014,18486,10954,6773,7295,347,128,8101,4340,4150,1,0,0,438,210,4,34,123,1007,97,262,132,709,356,87,297,24,369,42879,28,0,0,5209,7477,182,557,2527,7361,937,820,1229,3505,1398,1390,5763,396,4100,16,7,94.4,9.6,42999577,13103832,42251706,17011923,5164996,5161348,41442,10,1002,13,270,3413,8,155,1792,0,0,0,0,6,2851,37286,22145,15141,1957,1273,684,37414,13467,23947,351,9384,26169,0,1,84727,2392,748,621,11,6,54,45,252,59,195,10,1039
R01206,ñkäCìπ,ã˙òHés,174742,82185,92557,174120,81942,92178,19400,9829,9571,101909,49888,52021,52867,22161,30706,25645,9939,15706,440,885,2300,5519,6505,82078,81846,169155,45098,31697,19105,11305,11926,732,370,136329,30949,8268,26,20,10,712,340,13,47,283,1970,188,785,265,1353,778,204,632,46,596,70112,303,269,438,5489,5938,384,392,5773,15110,2159,1875,1461,7786,3192,1548,11289,543,6163,185,18,98,11,93238783,20692423,92573318,37903186,11827755,7797305,15222,24,1990,27,599,7453,17,360,4016,0,0,0,0,8,4361,74840,41632,33208,3548,2152,1396,66161,23208,42953,1679,13682,54775,1,2,170627,9263,1391,1151,29,15,79,92,372,113,382,26,1701
R01207,ñkäCìπ,ë—çLés,169327,80994,88333,168800,80736,88064,20566,10589,9977,103890,51271,52619,44636,18963,25673,21755,8637,13118,524,1140,1887,7203,7378,77707,77525,163589,42823,29720,16117,9615,8907,871,391,61934,38281,8804,72,1,4,868,338,9,74,185,2245,208,436,358,1562,829,256,712,45,601,78576,729,6,27,6908,5331,277,623,4385,18833,2405,1827,2297,9244,3528,1551,13303,426,6872,653,32,90.1,8.9,81354391,22507980,80488646,31517797,9141848,6654887,76123,13,1887,26,621,8077,14,335,3928,0,0,0,0,8,5078,79840,44102,35738,3137,1793,1344,55718,19135,36583,3923,14264,56126,0,1,167033,4476,1567,1378,32,18,102,96,501,145,415,31,2774
R01208,ñkäCìπ,ñkå©és,121226,58020,63206,120936,57884,63052,13570,6897,6673,70781,35523,35258,36437,15291,21146,18266,7115,11151,283,699,1480,3731,4144,56202,56043,117577,31420,21103,13045,8072,7328,448,233,142741,42515,5516,128,18,3,501,240,12,44,152,1472,118,335,185,809,483,107,451,45,411,49853,986,253,29,4843,3577,245,470,2739,12258,1316,1131,929,4781,2069,1437,7596,801,4388,869,124,91.4,7.7,71977548,14488915,71720528,21682808,11110646,5816225,23572,8,770,24,474,5324,14,277,2705,0,0,0,0,8,3045,55971,31001,24970,2303,1426,877,41549,14556,26993,3903,9632,38336,8,8,117897,4346,1039,663,28,12,66,54,240,76,220,25,1446
R01209,ñkäCìπ,ó[í£és,8843,4092,4751,8755,4089,4666,500,241,259,4045,2090,1955,4296,1759,2537,2527,1004,1523,88,16,185,197,343,4539,4526,8460,2256,1984,1443,922,1178,21,9,76307,11165,435,4,0,0,27,21,3,2,12,126,4,7,5,54,47,4,42,15,62,2921,39,0,0,219,699,19,3,103,530,20,17,12,274,104,11,559,109,203,135,26,124,71.8,11308431,928303,11223249,2329168,1403640,290177,5728,1,17,1,21,197,1,17,101,0,0,0,0,1,65,3721,2049,1672,217,158,59,4395,1638,2757,582,815,2315,1,0,8211,3567,119,40,0,0,6,5,7,8,16,3,92
R01210,ñkäCìπ,ä‚å©ëÚés,84499,39319,45180,84215,39201,45014,8983,4597,4386,47848,23127,24721,27503,11509,15994,13958,5334,8624,96,371,1163,2407,3007,36155,36060,81202,21610,11431,9773,5712,5234,285,133,48102,31831,3230,96,0,1,301,120,3,29,77,776,55,244,124,445,324,67,296,26,246,28621,801,0,16,2536,2597,110,159,1833,6166,575,646,622,2607,1391,460,4985,558,2559,1041,224,97.8,6.5,48725790,8595448,48389275,14517539,8210868,5718553,175836,5,755,14,296,3549,9,185,1886,0,0,0,0,4,2468,37845,20877,16968,1962,1229,733,33547,11532,22015,3308,6710,26484,0,2,81963,4187,625,381,10,5,59,49,182,63,141,18,1193
R01211,ñkäCìπ,ñ‘ëñés,39077,19819,19258,38807,19726,19081,4571,2358,2213,23698,12794,10904,10691,4578,6113,5246,2038,3208,188,184,434,1471,1958,18035,17984,37138,9153,7571,3803,2316,2169,156,59,47100,21594,1861,36,23,1,174,103,2,15,39,429,36,143,71,306,165,33,126,19,140,15757,614,203,4,1348,1744,38,106,620,3116,384,328,426,2062,615,523,2201,426,999,349,22,97.4,17.2,23899071,4850824,23808181,6794694,3360531,2035415,0,4,328,9,186,1655,6,109,855,0,0,0,0,2,1010,17955,10232,7723,651,403,248,14472,6004,8468,2230,2875,12170,0,1,35772,1314,345,242,5,4,16,16,61,22,55,5,291
R01212,ñkäCìπ,óØñGés,22221,10516,11705,22106,10498,11608,2290,1137,1153,12391,6298,6093,7513,3069,4444,3761,1449,2312,99,101,324,919,1300,10402,10358,21320,5774,3877,2678,1655,1619,82,32,29784,5202,1107,4,1,2,92,37,4,8,47,310,29,44,38,170,109,14,83,10,105,8065,37,20,13,950,871,48,49,641,1926,255,143,173,647,377,65,1121,207,522,67,25,93.9,14,13956642,2287885,13736542,3931772,2262348,895128,308596,2,203,5,102,841,2,47,446,0,0,0,0,1,520,10813,6173,4640,534,366,168,8488,2798,5690,358,2200,8213,1,1,20951,1709,243,137,3,2,16,13,44,14,51,3,304
R01213,ñkäCìπ,ìœè¨ñqés,172737,84605,88132,172161,84301,87860,22401,11469,10932,105217,53472,51745,44469,19164,25305,20468,7919,12549,405,1146,1936,5759,5682,78298,78145,167749,45158,28681,16374,9876,9201,853,408,56157,20182,7339,18,2,5,941,347,14,33,458,1738,147,332,238,1039,679,230,550,28,540,78882,497,19,118,8047,11621,383,463,8444,15466,1456,1436,1212,6675,4061,1508,9844,922,6710,47,21,88.9,6.9,80004457,27558333,78247987,32305221,8700547,9982488,100932,15,2364,24,601,8947,16,368,4502,0,0,0,0,7,3890,76793,45241,31552,3424,2091,1333,58140,19148,38992,1273,19105,50802,1,1,171711,399,1232,859,26,10,92,80,333,118,301,24,1979
R01214,ñkäCìπ,ítì‡és,36380,17809,18571,36082,17721,18361,4304,2218,2086,21570,11172,10398,10505,4419,6086,5051,1963,3088,298,188,450,1206,1662,16486,16445,35399,9191,5972,3923,2227,2084,177,59,76147,31932,1936,12,14,3,193,121,6,14,45,468,51,125,52,338,180,28,101,24,161,15156,128,262,10,1915,1992,88,118,959,3456,445,273,258,1591,743,189,1173,375,1181,152,3,94.4,12.9,26804632,4558167,26558870,5763455,3230639,3864865,25344,5,446,11,164,1491,7,105,814,0,0,0,0,2,921,16928,9972,6956,887,567,320,11562,3722,7840,1287,3390,11267,0,1,34340,796,312,273,5,3,16,13,51,17,58,6,346
R01215,ñkäCìπ,î¸âSés,23035,10753,12282,23000,10736,12264,1973,1039,934,12205,6074,6131,8853,3638,5215,4740,1775,2965,33,69,368,463,715,10173,10098,21799,5620,3567,2952,1771,1992,65,18,27769,15776,970,34,0,4,108,64,2,3,31,200,16,71,12,127,105,25,65,14,89,7368,207,0,28,869,843,26,27,591,1209,149,138,112,634,428,73,1295,273,466,593,92,101.8,13.7,14938251,2083348,14838975,4485837,2083774,1131540,0,3,125,4,69,683,3,51,389,0,0,0,0,2,560,10047,5539,4508,515,363,152,10191,3640,6551,1436,2097,6276,4,1,21390,3931,167,104,1,4,11,14,41,17,32,5,204
R01216,ñkäCìπ,à∞ï és,14676,6667,8009,14634,6657,7977,1109,566,543,7160,3473,3687,6405,2626,3779,3503,1338,2165,42,55,274,266,483,6862,6828,14016,3897,2395,2202,1376,1440,36,19,86504,13704,639,20,0,3,44,39,1,3,12,159,13,19,7,99,71,11,55,13,70,4891,243,0,77,305,1233,8,8,223,891,78,34,26,366,220,66,736,81,296,242,50,98,6.9,10671036,1442687,10579087,3052590,1360892,852933,8242,1,104,2,37,374,2,29,229,0,0,0,0,1,248,6152,3283,2869,328,216,112,7006,2552,4454,642,1691,3778,0,1,13413,2473,135,84,1,2,5,8,15,9,25,1,103
R01217,ñkäCìπ,ç]ï és,120636,57391,63245,120094,57109,62985,13524,6868,6656,74253,36364,37889,32585,13970,18615,15521,6032,9489,391,623,1227,5566,4454,51983,51905,117458,32310,16659,12742,7527,5849,373,206,18738,16763,3351,40,0,0,395,152,5,22,91,757,46,224,114,356,330,176,408,21,214,33426,449,0,0,2698,4085,109,722,1861,7233,414,720,860,2429,1451,2213,5163,411,2608,355,43,94.1,8.1,45001004,12484303,44151347,16935928,7042413,3470497,270438,7,947,17,406,5635,9,277,3507,0,0,0,0,5,3864,53086,29622,23464,2671,1733,938,47566,17098,30468,1439,9540,39322,3,4,118971,1106,596,297,25,5,69,65,165,83,196,10,900
R01218,ñkäCìπ,ê‘ïΩés,11105,5025,6080,11051,5004,6047,835,428,407,5306,2554,2752,4964,2043,2921,2727,1052,1675,54,30,213,224,328,4980,4948,9987,2770,1828,1617,1011,1098,23,19,12988,3669,431,4,0,1,43,34,0,2,16,115,8,12,5,56,48,3,36,7,41,4069,44,0,18,442,1180,0,3,214,615,56,31,13,202,126,5,911,35,174,77,13,93.9,13.9,11081347,840252,10777322,2832253,1230914,2218713,0,1,51,3,42,306,1,18,159,0,0,0,0,0,0,4474,2360,2114,268,190,78,5471,2021,3450,207,1219,2994,2,1,9971,1966,107,46,1,2,3,5,24,6,21,2,106
R01219,ñkäCìπ,ñ‰ï és,23109,10954,12155,22705,10863,11842,2329,1221,1108,12707,6347,6360,7631,3082,4549,3864,1406,2458,310,121,328,617,956,11127,11101,22382,5900,4461,2760,1676,1683,84,40,83067,17451,1254,13,5,1,108,100,3,8,45,323,31,83,33,190,117,23,54,16,101,9289,167,87,4,856,1848,48,127,553,1960,173,175,138,873,397,110,948,201,624,109,6,89.2,10.3,19786360,3131530,19505214,4422756,2807031,1618733,5285,1,73,6,102,830,3,52,446,0,0,0,0,1,477,11270,6212,5058,398,256,142,8143,2670,5473,1017,2877,6940,3,1,22141,2016,234,161,2,5,8,11,35,14,28,5,226
R01220,ñkäCìπ,émï és,19914,9382,10532,19815,9311,10504,2066,1066,1000,10384,5195,5189,7451,3112,4339,4144,1656,2488,57,83,247,466,703,8650,8625,19194,5068,2703,2516,1690,1331,48,26,111922,27978,1069,42,0,3,108,52,2,3,18,256,16,62,27,156,96,25,91,17,95,7540,516,0,13,1132,514,7,16,238,1537,138,102,294,591,285,90,803,260,1004,574,63,98.3,13.1,17682398,2297081,17644897,4165098,1783820,1827650,48687,3,125,6,100,745,5,78,423,0,0,0,0,2,418,9507,5316,4191,313,191,122,7773,2663,5110,1730,1655,5805,17,2,18788,1124,209,127,3,1,13,10,21,11,29,3,221
R01221,ñkäCìπ,ñºäÒés,29048,14072,14976,28926,14011,14915,3453,1763,1690,16755,8565,8190,8794,3716,5078,4605,1790,2815,118,174,318,1271,1445,13086,13012,27548,7179,4938,3099,2015,1658,119,57,53520,19852,1404,20,0,1,104,54,2,10,40,361,32,141,42,216,142,33,92,14,100,10169,152,0,16,848,620,67,76,644,2795,287,236,201,1127,478,187,1369,219,847,593,117,91.9,8.5,22687267,3058208,22229842,4881124,2559120,4870424,709,3,291,7,136,1256,4,75,627,0,0,0,0,2,605,14377,8310,6067,451,289,162,10132,3390,6742,1666,1612,10652,19,2,27709,1227,291,184,5,4,10,15,93,22,58,5,353
R01222,ñkäCìπ,éOä}és,9076,4075,5001,9059,4063,4996,694,336,358,4199,2109,2090,4181,1629,2552,2400,846,1554,17,40,210,284,373,4254,4241,8537,2313,1649,1407,819,1050,20,17,30252,5678,393,10,0,1,38,28,2,0,15,113,6,7,3,41,45,2,27,7,48,3025,197,0,18,312,522,6,0,149,667,24,27,18,210,143,12,424,36,260,69,23,98.7,7.4,11020839,892480,10888861,2377898,1382892,1064706,5648,1,50,2,33,267,2,27,160,0,0,0,0,1,119,3400,1905,1495,247,169,78,4719,1653,3066,310,667,2413,1,1,8824,2293,99,33,1,2,4,3,15,3,14,2,121
R01223,ñkäCìπ,ç™é∫és,26917,12862,14055,26633,12807,13826,3033,1570,1463,15533,7830,7703,8285,3413,4872,4096,1570,2526,253,136,358,653,961,11383,11363,26247,6314,3692,2885,1595,1498,93,38,41141,20785,1439,13,38,3,111,144,3,11,41,358,33,46,25,236,158,25,64,22,108,10427,82,358,34,656,2478,26,37,475,2348,268,127,100,934,478,98,855,373,700,100,1,96,7.9,23597208,2945208,23526730,4470130,1439698,1338593,0,3,296,8,132,1051,7,111,616,0,0,0,0,1,538,13876,7766,6110,542,353,189,8907,2863,6044,2768,3162,7751,4,1,25973,7437,266,194,5,1,8,12,27,12,27,7,368
R01224,ñkäCìπ,êÁçŒés,95648,48588,47060,95212,48398,46814,13573,7011,6562,61908,32634,29274,19979,8851,11128,9217,3820,5397,435,816,755,6078,5742,40638,40465,91267,24115,14048,7774,4454,3742,589,203,59450,19623,3157,37,2,2,243,146,2,17,143,847,56,129,77,616,328,103,218,16,175,39568,549,16,7,2196,6945,81,81,4735,8050,537,1011,561,4760,2328,726,3292,306,3387,181,42,91,9.1,40264849,15257596,39773982,13230580,4628703,4769396,84301,8,1422,17,334,5442,9,181,2668,0,0,0,0,2,1648,46015,27907,18108,1933,1209,724,29641,9992,19649,1303,8253,34047,12,1,96984,1155,701,535,19,5,57,46,129,68,143,12,976
R01225,ñkäCìπ,ëÍêÏés,41192,19475,21717,41054,19402,21652,4456,2327,2129,23001,11284,11717,13353,5615,7738,6738,2619,4119,80,237,591,1820,1971,18651,18600,39552,10717,6591,4710,2965,2670,184,61,11590,10206,1882,14,0,2,193,61,2,10,49,476,44,101,64,313,211,50,152,12,128,14647,164,0,5,1659,670,64,83,805,3711,445,303,361,1718,782,300,2225,306,1046,329,74,94.9,10.2,21378344,4355589,20605562,6516856,3332330,2102904,30967,2,289,6,140,1753,4,83,898,0,0,0,0,3,1599,18850,10458,8392,760,501,259,15751,5380,10371,926,3385,13819,1,1,40488,4938,377,278,8,4,24,26,86,35,90,5,483
R01226,ñkäCìπ,çªêÏés,17694,8216,9478,17666,8201,9465,1758,871,887,9355,4573,4782,6390,2670,3720,3369,1299,2070,23,74,246,593,706,7858,7840,17017,4627,2594,2323,1452,1195,69,22,7868,4884,825,7,0,2,95,39,3,2,28,213,12,37,23,136,72,18,71,6,61,7236,106,0,24,1097,745,113,5,498,1767,88,190,80,563,341,60,719,241,599,202,37,83,4.6,12590164,2077832,12147618,3138348,2395505,813378,0,1,105,5,84,646,2,36,384,0,0,0,0,1,283,7740,4210,3530,324,215,109,7444,2697,4747,463,1755,5339,1,1,17182,618,166,111,3,1,8,8,104,14,64,3,217
R01227,ñkäCìπ,âÃéuì‡és,3585,1652,1933,3581,1650,1931,217,122,95,1696,864,832,1672,666,1006,915,316,599,4,12,71,72,165,1665,1659,3263,920,637,561,326,369,3,3,5595,1398,129,1,0,2,15,4,0,1,5,34,3,1,0,11,12,3,15,3,19,801,0,0,41,103,47,0,3,52,128,8,1,0,54,29,10,240,9,76,1,0,96,13.7,4628322,204567,4448281,1411830,560496,262554,0,0,0,1,13,65,1,13,54,0,0,0,0,0,0,1306,732,574,115,86,29,1947,712,1235,34,329,940,0,1,3302,188,31,6,0,1,4,2,3,1,5,1,13
