SSDSE-A-2021,prefecture,municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J2503,J2506
R15504,êVäÉåß,ä†âHë∫,4775,2476,2299,4763,2471,2292,609,322,287,2787,1500,1287,1353,628,725,713,293,420,11,23,47,90,167,1682,1681,4763,842,420,375,187,140,14,5,2627,1521,214,8,0,0,60,25,0,0,4,33,1,4,10,17,14,9,8,3,18,2076,63,0,0,579,450,0,0,53,273,1,10,91,181,46,145,109,29,46,152,88,76.3,-3.2,5816693,2571286,5599080,804400,645839,717301,0,0,0,1,19,242,1,12,102,0,0,0,0,0,0,2501,1512,989,73,46,27,1559,567,992,151,900,1433,1,1,4595,29,28,10,1,0,1,1,1,1,0,1,166
R15581,êVäÉåß,ä÷êÏë∫,5832,2758,3074,5805,2751,3054,601,314,287,2949,1535,1414,2282,909,1373,1398,485,913,25,20,120,80,167,1846,1841,5675,828,337,556,238,210,17,5,29961,7329,329,25,0,0,65,23,2,0,9,77,2,1,7,37,34,7,21,4,15,1963,235,0,0,275,363,15,0,49,374,12,2,20,173,73,26,275,21,50,492,107,88.4,9.3,4930579,694198,4755012,888642,877692,404505,4350,0,0,1,19,217,1,17,126,0,0,0,0,0,0,3011,1675,1336,66,48,18,2143,715,1428,588,899,1520,1,0,5679,637,72,12,0,0,5,2,3,1,2,1,27
R15586,êVäÉåß,àæìáâYë∫,370,184,186,369,184,185,33,17,16,187,107,80,150,60,90,99,33,66,1,2,10,33,39,173,165,353,59,71,43,17,26,3,1,978,115,64,0,1,0,4,2,1,0,2,11,0,0,0,38,2,0,1,2,0,169,0,11,0,5,4,6,0,25,18,0,0,0,84,2,0,7,7,0,0,55,85.2,6.6,1243771,39286,1062962,98065,34151,77734,55348,0,0,1,5,13,1,7,11,0,0,0,0,0,0,263,137,126,1,1,0,73,29,44,71,18,174,3,0,360,0,11,7,0,0,1,0,0,0,0,1,10
R16201,ïxéRåß,ïxéRés,418686,203427,215259,413600,201263,212337,52626,26980,25646,245586,124837,120749,117978,50050,67928,57001,21315,35686,4243,2956,4785,9367,9154,163862,163515,406734,91902,49401,37849,19326,16694,1932,608,124177,47076,20359,88,8,8,2204,1454,24,235,421,5469,475,1037,875,2319,1740,678,1483,127,1714,217688,1216,122,70,16644,41329,2268,6100,9468,41668,7064,4222,5041,18229,8800,7923,25598,1553,20373,4766,1804,89.5,9.6,166124962,74893970,162482080,55622076,26009048,19836575,269639,25,1577,67,1351,20412,29,803,11138,0,0,0,0,20,12795,209403,115966,93437,6516,4183,2333,137724,48919,88805,4750,62733,137048,82,26,417625,3790,3759,1951,57,39,337,193,1485,281,1409,92,10740
R16202,ïxéRåß,çÇâ™és,172125,82802,89323,168288,81129,87159,19223,9917,9306,94740,47556,47184,53973,22939,31034,25969,9624,16345,1919,994,2196,3477,3992,63814,63701,168704,33820,16755,15923,7961,6995,620,214,20957,14251,9250,48,2,6,844,1184,6,56,151,2563,187,347,331,1051,892,256,604,70,652,80696,692,31,42,5835,19245,223,531,3211,17655,2255,1106,1812,7146,3642,1544,9993,445,5288,1877,935,87.4,14.7,68634419,25961173,66671485,22333574,9978374,4769864,18761,6,467,26,546,7494,12,328,4018,0,0,0,0,11,5901,85832,46857,38975,3000,1998,1002,58562,20802,37760,1868,28097,54505,36,6,172164,9945,1832,896,26,12,136,85,455,126,438,46,4721
R16204,ïxéRåß,ãõí√és,42935,20921,22014,42530,20736,21794,4851,2456,2395,23977,12575,11402,13867,5773,8094,6908,2515,4393,297,229,554,880,1081,15855,15813,41324,8510,4393,4119,1927,1734,189,47,20061,7683,2421,10,3,2,291,211,2,17,28,643,37,93,71,334,258,76,164,19,162,20647,327,71,7,1959,4444,221,59,499,3846,489,253,451,1993,1451,290,2802,325,1160,692,318,91.1,13.3,19273341,6660439,18326773,5492221,1822721,3482383,59733,1,21,5,123,1818,2,76,1039,0,0,0,0,4,1391,21940,12055,9885,801,555,246,14395,5324,9071,900,8521,12286,14,1,42166,2326,519,290,5,4,31,21,88,30,77,15,1315
R16205,ïxéRåß,ïXå©és,47992,22769,25223,47604,22648,24956,4915,2536,2379,25803,13003,12800,17268,7225,10043,8944,3251,5693,383,204,721,555,874,16096,16064,47012,8361,3122,4620,2285,1841,137,45,23054,9576,2195,16,8,0,241,247,1,6,31,590,22,44,38,269,210,77,146,47,202,16161,288,183,0,1140,4405,12,32,408,3075,223,194,113,1604,691,215,2524,440,614,1095,1024,89.6,11.2,21854600,5326987,20942178,6498450,1916252,1815556,198622,1,159,12,180,1864,5,95,1052,0,0,0,0,1,750,23738,12840,10898,967,628,339,17794,6477,11317,1030,8060,14094,23,1,47786,3579,499,198,6,3,31,15,76,19,64,14,1029
R16206,ïxéRåß,ääêÏés,32755,15855,16900,32529,15746,16783,4256,2222,2034,18995,9717,9278,9377,3842,5535,4534,1579,2955,188,244,381,882,812,11699,11678,32157,6779,2686,2857,1341,1133,156,47,5462,4761,1253,19,1,1,140,176,1,5,24,337,23,35,37,97,120,50,93,6,88,14410,244,3,2,823,6945,11,18,434,2069,215,81,236,668,375,269,1460,84,473,586,187,85.1,8.6,13158720,5254132,12371185,4315531,1393131,1074454,4280,1,26,7,124,1631,2,65,888,0,0,0,0,1,632,17065,9433,7632,616,402,214,10485,3603,6882,619,6779,9600,11,2,33251,1221,294,75,4,2,22,9,49,13,84,13,1140
R16207,ïxéRåß,çïïîés,40991,19920,21071,40779,19833,20946,5117,2665,2452,22855,11704,11151,12266,5154,7112,6178,2280,3898,180,269,484,1040,1177,14793,14737,40207,8108,3626,3751,1773,1400,162,47,42631,21984,1659,18,1,2,196,193,7,6,52,438,26,31,40,209,151,35,117,15,122,21759,302,23,7,1808,9913,109,32,945,2702,248,192,161,1785,472,147,1702,292,919,759,328,86.1,11.3,21570722,8036287,20805394,5520881,2718917,3271737,90650,3,73,9,155,2089,4,88,1048,0,0,0,0,1,553,20811,11515,9296,700,475,225,13431,4756,8675,828,9056,10876,17,2,41496,922,376,147,4,4,25,16,128,22,93,14,1408
R16208,ïxéRåß,ìvîgés,49000,23781,25219,48484,23564,24920,6733,3470,3263,28209,14273,13936,13837,5922,7915,7039,2625,4414,444,294,577,1224,1304,16220,16177,47921,8394,3618,3399,1586,1224,184,57,12703,9246,2542,57,1,1,308,297,4,17,54,636,43,84,99,276,224,66,167,22,186,22580,828,1,1,2029,5428,108,192,953,4361,441,364,473,2266,1011,242,2108,685,1089,1214,352,84.9,11.9,22580553,7107009,20696427,6391129,1813632,3171710,39188,5,97,8,177,2586,4,108,1434,0,0,0,0,2,1030,25712,14017,11695,756,506,250,14833,5251,9582,1294,8741,15445,22,2,48509,2703,537,229,10,5,38,16,151,33,93,14,1259
