"pref","year","suicide","unemp"
"岩手",2016,22.9,2.5
"宮城",2016,18,3.2
"秋田",2016,23.8,3
"山形",2016,19.9,2.4
"福島",2016,18.4,2.7
"茨城",2016,17.1,2.8
"栃木",2016,18.9,2.7
"群馬",2016,20.2,2.5
"埼玉",2016,16.7,3.1
"千葉",2016,16.7,2.9
"東京",2016,15.5,3.2
"神奈川",2016,14.6,3.1
"新潟",2016,21.8,2.8
"富山",2016,17.7,2.3
"石川",2016,15.5,2.1
"福井",2016,17,1.9
"山梨",2016,17,2.3
"長野",2016,16.5,2.5
"岐阜",2016,17.5,2.1
"静岡",2016,16.6,2.5
"愛知",2016,14.4,2.4
"三重",2016,14.9,2
"滋賀",2016,16.1,2.5
"京都",2016,14.2,3.1
"大阪",2016,17.8,4
"兵庫",2016,16.4,3.4
"奈良",2016,13.6,3
"和歌山",2016,21.7,2.2
"鳥取",2016,14.5,2.3
"島根",2016,19,1.7
"岡山",2016,15.7,2.7
"広島",2016,15.4,2.7
"山口",2016,15.8,2.4
"徳島",2016,18,2.7
"香川",2016,16.2,2.6
"愛媛",2016,18.3,2.6
"高知",2016,18.4,3.3
"福岡",2016,16.3,3.5
"佐賀",2016,15.4,2.3
"長崎",2016,14.9,2.8
"熊本",2016,18.2,3.1
"大分",2016,16.9,2.5
"宮崎",2016,18.8,2.3
"鹿児島",2016,16.1,2.8
"沖縄",2016,18.9,4.3
"北海道",2017,17.3,3.3
"青森",2017,20.8,3.1
"岩手",2017,21,2.1
"宮城",2017,16.9,2.8
"秋田",2017,24.4,2.8
"山形",2017,19.2,1.9
"福島",2017,20.2,2.4
"茨城",2017,17.8,2.4
"栃木",2017,18.1,2.3
"群馬",2017,17.4,2.1
"埼玉",2017,16.4,2.8
"千葉",2017,16.1,2.6
"東京",2017,14.6,2.9
"神奈川",2017,15.1,2.7
"新潟",2017,19.3,2.6
"富山",2017,17.9,2.1
"石川",2017,16.6,1.9
"福井",2017,14.7,1.6
"山梨",2017,16.2,2
"長野",2017,15.7,2
"岐阜",2017,16.8,1.9
"静岡",2017,16.3,2.3
"愛知",2017,14.4,2.4
"三重",2017,17.3,1.8
"滋賀",2017,14.5,2
"京都",2017,14.1,2.7
"大阪",2017,16.7,3.4
"兵庫",2017,16.7,2.7
"奈良",2017,14.1,2.6
"和歌山",2017,19.1,1.8
"鳥取",2017,16.2,2
"島根",2017,16.7,1.1
"岡山",2017,14,2.4
"広島",2017,16.2,2.4
"山口",2017,16.8,2
"徳島",2017,16.1,2.7
"香川",2017,15.6,2.6
"愛媛",2017,20.3,2.3
"高知",2017,15.4,3
"福岡",2017,16.2,3.3
"佐賀",2017,14.8,2
"長崎",2017,15.9,2.6
"熊本",2017,15.5,2.9
"大分",2017,18.3,2.3
"宮崎",2017,18.4,2
"鹿児島",2017,16.7,2.8
"沖縄",2017,17,3.7
"北海道",2018,17.2,2.9
"青森",2018,20.6,2.7
"岩手",2018,20.5,1.8
"宮城",2018,16.2,2.6
"秋田",2018,20.3,2.6
"山形",2018,18.1,1.7
"福島",2018,19.7,2.1
"茨城",2018,17,2.2
"栃木",2018,16.9,2
"群馬",2018,17.8,1.9
"埼玉",2018,16.4,2.4
"千葉",2018,16.8,2.3
"東京",2018,15.2,2.6
"神奈川",2018,14.4,2.3
"新潟",2018,19.5,2.1
"富山",2018,15.5,1.8
"石川",2018,12.9,1.4
"福井",2018,13.9,1.4
"山梨",2018,17,1.7
"長野",2018,15.4,1.7
"岐阜",2018,16.8,1.3
"静岡",2018,16.4,1.9
"愛知",2018,13.7,1.7
"三重",2018,16.7,1.2
"滋賀",2018,14.7,1.9
"京都",2018,13.3,2.5
"大阪",2018,17,3.2
"兵庫",2018,16.4,2.6
"奈良",2018,16.3,2.4
"和歌山",2018,21.2,1.9
"鳥取",2018,14.7,2
"島根",2018,16.1,1.4
"岡山",2018,13.5,2.3
"広島",2018,15.4,2.4
"山口",2018,15.4,1.8
"徳島",2018,12.4,2.2
"香川",2018,15.7,2.2
"愛媛",2018,15.8,1.7
"高知",2018,17.9,2.2
"福岡",2018,16,2.9
"佐賀",2018,15.4,1.8
"長崎",2018,15.5,2.2
"熊本",2018,14.2,2.7
"大分",2018,18,2
"宮崎",2018,19,1.4
"鹿児島",2018,16.1,2.4
"沖縄",2018,15.4,3.4
"北海道",2019,17,2.6
"青森",2019,16.9,2.5
"岩手",2019,20.5,2.1
"宮城",2019,17.5,2.6
"秋田",2019,20.8,2.6
"山形",2019,18.2,1.7
"福島",2019,18.2,2.1
"茨城",2019,16.7,2.4
"栃木",2019,17.2,2.2
"群馬",2019,18.9,2.2
"埼玉",2019,15,2.3
"千葉",2019,16,2.1
"東京",2019,14.3,2.4
"神奈川",2019,13.4,2.1
"新潟",2019,18.5,2.1
"富山",2019,15.8,1.7
"石川",2019,14.2,1.6
"福井",2019,14.8,1.4
"山梨",2019,17,2
"長野",2019,17.4,2
"岐阜",2019,16.3,1.3
"静岡",2019,15.9,2
"愛知",2019,14,1.8
"三重",2019,15.9,1.3
"滋賀",2019,16.2,1.8
"京都",2019,12.4,2.4
"大阪",2019,16,2.9
"兵庫",2019,15.9,2.3
"奈良",2019,16.4,1.9
"和歌山",2019,17.4,1.6
"鳥取",2019,13.1,2.3
"島根",2019,16.5,1.6
"岡山",2019,14.3,2.4
"広島",2019,14.8,2.4
"山口",2019,15.4,1.8
"徳島",2019,15.5,1.9
"香川",2019,14.9,2
"愛媛",2019,15.6,1.7
"高知",2019,17.5,1.9
"福岡",2019,15,2.8
"佐賀",2019,17.5,1.9
"長崎",2019,14.3,2.2
"熊本",2019,15.5,2.7
"大分",2019,15.1,2
"宮崎",2019,17.8,1.4
"鹿児島",2019,17.9,2.4
"沖縄",2019,16.5,2.7
