"pref","year","suicide","unemp"
"高知",2000,25.5,4.7
"福岡",2000,24.3,6.2
"佐賀",2000,25.1,4.3
"長崎",2000,24.6,4.8
"熊本",2000,22.5,4.6
"大分",2000,26.6,4.2
"宮崎",2000,32.6,3.7
"鹿児島",2000,26.9,3.6
"沖縄",2000,26.5,7.9
"北海道",2001,23.6,5.8
"青森",2001,28.8,5.7
"岩手",2001,34,4.3
"宮城",2001,23.3,5.6
"秋田",2001,37.1,5.2
"山形",2001,25.7,3.7
"福島",2001,24.3,4.7
"茨城",2001,23.1,4.2
"栃木",2001,25.7,4.2
"群馬",2001,24.9,4.1
"埼玉",2001,20.8,5.2
"千葉",2001,19.6,4.4
"東京",2001,21.5,5.2
"神奈川",2001,19.5,4.6
"新潟",2001,34.2,4.1
"富山",2001,27,3.6
"石川",2001,23.5,3.7
"福井",2001,24.1,3.3
"山梨",2001,23.4,3.5
"長野",2001,22.1,2.9
"岐阜",2001,22.1,3.7
"静岡",2001,21,3.9
"愛知",2001,20.3,4.4
"三重",2001,21.5,4
"滋賀",2001,16.2,4.1
"京都",2001,21.8,5.9
"大阪",2001,24.5,7.2
"兵庫",2001,23.1,6.3
"奈良",2001,21.2,5
"和歌山",2001,29.9,4.5
"鳥取",2001,22.3,3.9
"島根",2001,29.9,4
"岡山",2001,21.2,4.5
"広島",2001,21.8,4.4
"山口",2001,23.3,4.2
"徳島",2001,18.6,5.2
"香川",2001,18.8,4.2
"愛媛",2001,24.1,4.7
"高知",2001,25.8,5.7
"福岡",2001,24.6,6.5
"佐賀",2001,24.6,4.5
"長崎",2001,22.6,5.1
"熊本",2001,22,4.9
"大分",2001,21.8,4.5
"宮崎",2001,28.7,4.3
"鹿児島",2001,26.8,4.2
"沖縄",2001,23.6,8.4
"北海道",2002,24.6,6.1
"青森",2002,36.7,6.5
"岩手",2002,35.6,5.3
"宮城",2002,23.3,6.3
"秋田",2002,42.1,5.7
"山形",2002,30.1,4.3
"福島",2002,25.7,5.5
"茨城",2002,24.4,4.6
"栃木",2002,23.4,4.6
"群馬",2002,24.4,4.5
"埼玉",2002,20.6,5.7
"千葉",2002,20.4,4.8
"東京",2002,21.4,5.6
"神奈川",2002,19.6,5.1
"新潟",2002,31.4,4.4
"富山",2002,24.8,3.8
"石川",2002,23.1,3.9
"福井",2002,23.2,3.6
"山梨",2002,25.1,4
"長野",2002,22.3,3.7
"岐阜",2002,23,4.2
"静岡",2002,20.7,3.9
"愛知",2002,20.5,4
"三重",2002,20.7,4.1
"滋賀",2002,21.2,4
"京都",2002,22.4,6.4
"大阪",2002,24.8,7.7
"兵庫",2002,22.3,6.8
"奈良",2002,18,5.4
"和歌山",2002,26.9,4.9
"鳥取",2002,23.3,3.9
"島根",2002,32.4,3.6
"岡山",2002,20.6,4.5
"広島",2002,22,4.5
"山口",2002,25.4,4.3
"徳島",2002,20.1,5.1
"香川",2002,20.7,4.3
"愛媛",2002,24.4,4.9
"高知",2002,29.1,5.4
"福岡",2002,25.5,6.9
"佐賀",2002,26.6,5
"長崎",2002,24.5,5.4
"熊本",2002,25,5.1
"大分",2002,26,4.9
"宮崎",2002,30.3,5.8
"鹿児島",2002,25.5,4.5
"沖縄",2002,24.6,8.3
"北海道",2003,27.1,6.5
"青森",2003,39.5,6.4
"岩手",2003,37.8,5.2
"宮城",2003,26.3,6.3
"秋田",2003,44.6,5.1
"山形",2003,30.2,4.2
"福島",2003,27.9,5.4
"茨城",2003,25.3,4.7
"栃木",2003,26.3,4.6
"群馬",2003,28.1,4.7
"埼玉",2003,22.5,5.4
"千葉",2003,22.3,4.5
"東京",2003,22.7,5
"神奈川",2003,20.9,4.8
"新潟",2003,34,4.4
"富山",2003,32.1,3.8
"石川",2003,25.8,3.9
"福井",2003,30.1,3.7
"山梨",2003,25.5,4
"長野",2003,26.4,3.5
"岐阜",2003,26.3,4
"静岡",2003,21.1,3.8
"愛知",2003,22.3,4
"三重",2003,24.9,4.1
"滋賀",2003,24.5,4.2
"京都",2003,23.2,5.9
"大阪",2003,25.3,7.6
"兵庫",2003,23.3,6.4
"奈良",2003,20.7,5.2
"和歌山",2003,25.8,4.7
"鳥取",2003,23.9,4
